IRIS;km_pa;f_i;co2_i;n;snv;ind;tx;prix;dens
130010101;2836.100716776044;460.7074662302349;154.19980023973395;3;27476.21196820944;1069.5;0.03290923109060495;8638.372798033593;38.39228885251957
130010102;3057.998847440396;558.0925383251615;177.80206361878504;3;22076.547339593115;1278;0.02489754452650561;5539.093120567375;46.50771152709679
130010103;3375.1402742505966;494.8150145335395;197.09432559588203;2;24137.824231782266;1139;0.0542291825258856;6157.7197115384615;61.85187681669244
130010104;3194.0917497333085;1123.1754020361032;393.6382160287524;5;22917.382233119577;2651;0.024350855984016873;5582.390403738318;56.15877010180516
130010105;2839.9202066080984;512.4997147662566;147.40216501666717;2;23003.142613151154;1171;0.014170699189379965;5769.513274336283;64.06246434578208
130010202;2978.2004972998925;657.3633089019044;255.54338244385897;6;26260.791495106314;1481.5;0.03356018386307613;6357.875;27.39013787091268
130010203;3678.5036417607535;1448.1455308094387;822.2763491006893;19;28345.29161467052;3285.5;0.024182489798173945;7096.722976370035;19.05454645801893
130010204;3128.732141899077;1147.2947524139015;531.6373695151534;11;30013.571533694812;2582;0.03958151056379955;6252.6592616791895;26.07488073667958
130010205;3625.975275075003;187.9522487599545;94.49307238960797;2;24032.05437352246;423;0.03667661679962819;5402.701923076923;23.494031094994313
130010206;2761.7442864886843;1437.238777183856;520.285289478054;8;27008.986900228483;3282.5;0.022731812990009814;6323.303349017437;44.9137117869955
130010301;3560.8484987864567;1257.555682770984;675.2265173288406;15;25224.03096842852;2819;0.023415627573995623;4796.317579529737;20.959261379516402
130010302;4122.930736008656;480.22672852446163;335.8386018809681;8;26664.514048825426;1085.5;0.036174332324214076;5564.707990115321;15.007085266389426
130010303;4312.468612876051;858.7819748001197;662.0427510877626;11;26941.44794201398;1931.5;0.029254694239011947;4469.4235996022535;19.517772154548176
130010304;4629.004088868165;841.2581831634127;678.908066998119;11;25262.690856082692;1886.5;0.013062240721681606;4465.98061406918;19.119504162804834
130010305;3405.626537094531;974.4682875335408;564.3974809355434;10;26193.609286523217;2207.5;0.033090718391062035;5642.953424657534;24.36170718833852
130010306;3660.0865647098585;1116.2027471936642;674.7601250802377;8;21271.939314194577;2508;0.023097355407378783;3700.4538838920685;34.88133584980201
130010307;4006.2391702335035;739.1276323515434;487.9419733653656;6;25393.246913580246;1660.5;0.011125906800903751;4128.089141552512;30.796984681314306
130010401;4530.331293456152;1674.6884920166867;1351.794387736448;28;31061.835665914223;3765.5;0.03091448301728783;6587.623050426137;14.95257582157756
130010402;4681.047837931014;949.818972583093;776.3912812465638;14;27002.550761302413;2134.5;0.03483341261478512;5018.988459726802;16.961053081840944
130010403;6670.846876210296;759.6179327887793;878.4660344543788;9;23242.517004405287;1702.5;0.032164165383594234;5407.814619666048;21.100498133021645
130010404;7621.021538152492;1168.8973560580823;1734.0132506614896;175;28478.13652063261;2750.5;0.02869089142701431;9097.561793045665;1.6698533657972605
130010501;4327.291893407555;577.6907689563153;343.7544872554164;5;19577.608947165445;1296.5;-0.019662215329138033;5859.090909090909;28.884538447815768
130010502;5338.374329703813;985.9280551345569;923.690348832031;10;22875.30356498195;2216;0.04756165647313737;3889.1241379310345;24.648201378363922
130010503;3913.60097664477;1076.9677297738106;732.2713601711307;12;28174.39432712215;2415;0.022035556360890496;5067.486733238231;22.436827703621052
130010504;5997.208696811727;1484.480612803945;1620.4692680257006;44;26151.276692630316;3338;0.025988890313699775;5372.066561014263;8.43454893638605
130010505;5401.802577933641;843.929936142469;829.696004581832;22;28862.645100105372;1898;0.027957757784171422;6510.093111803392;9.590112910709875
130010506;5545.338033084623;773.5868248517089;801.6171099900964;26;29739.488805755394;1737.5;0.04010638750750806;5512.706135986733;7.438334854343355
130010601;3556.2763664964104;774.7175268475683;395.6419468722515;4;16001.645135290732;1737;-0.0018317986071282322;2833.704363312556;48.419845427973016
130010602;3188.4959270974514;796.3977059522433;352.8612468000434;3;16216.504410540914;1802.5;-0.0010257088847034357;1840;66.36647549602027
130010603;3335.480551608474;519.9432656623717;251.26166470401563;2;19477.592713244747;1166.5;0.007111538795849803;2849.3273542600896;64.99290820779646
130010604;3299.295732419177;1292.3302168871548;655.9383663636308;5;18866.47191745486;2907.5;0.018402714983484225;4094.202492211838;64.61651084435775
130010605;3809.680910622387;677.5023213808441;449.6209967703331;9;29076.96454366382;1523;0.0151961773769822;4871.736252002135;18.819508927245668
130010606;3431.8607419612936;1100.6288701272467;516.620437643824;9;18419.20980827447;2477.5;0.005705609443545034;4060.311679790026;30.573024170201297
130010701;4549.9346675134;996.0640260591838;760.2461586291553;11;20610.108989266548;2236;0.0069358819401228455;4230.066413662239;22.63781877407236
130010702;4839.7974415027;931.2613280979959;781.54559432469;10;23460.897511961724;2090;0.013668923743274775;3686.7635225748772;23.2815332024499
130010703;4945.234933255753;930.2814417449799;787.4012797269821;6;18822.61836049856;2086;-0.008418411950174787;2551.746376811594;38.76172673937416
130010704;4536.019747355194;508.69969006792;353.5257589173433;1;15678.351318101933;1138;NA;NA;127.17492251698
130010705;4821.797854600918;1333.548217922125;1001.5994759196835;6;16891.905994322926;2994.5;0.01089985896408141;3740.8258527827647;55.56450908008854
130010706;5181.162368731387;692.52432380567;570.7884460715114;4;16306.510967741935;1550;-0.0033027712921768204;2641.744548286604;43.28277023785437
130010707;7454.373090577955;1473.3818252464098;2185.682635806115;239;29212.069433962264;3445;0.010886147378068589;6785.562690285082;1.5411943778728134
130010709;5216.3072941791515;1152.9645732932572;1146.5836668839552;16;26369.385294117652;2584;0.020359430842513238;5552.107410852714;18.015071457707144
130010710;6070.01670316868;889.931836702298;1042.824953178787;46;31069.24079900125;2002.5;0.014755789383977147;6043.106448311157;4.836586069034229
130010711;5839.440667710834;1288.9926696989094;1434.637319860653;34;26097.544365832615;2897.5;0.02515785006017124;5491.168831168831;9.477887277197864
130010801;7984.74487742183;1512.257875699493;2424.206857006157;225;30224.758602993585;3507.5;0.033352221035927165;6138.500563697858;1.6802865285549924
130010802;8494.20439148561;1271.6092391695774;2126.2040873151554;297;30096.417322066947;3077;0.023191751148267548;6741.061946902655;1.0703781474491392
130010803;6645.473865184375;1833.760851379214;2370.3338458388303;70;30111.825752629673;4135.5;0.02111027239439256;5385.161786407767;6.549145897782907
130010804;7325.801295072998;1857.2696073849215;2705.1782132344724;198;32498.88466997871;4227;0.032221919369520347;8152.961468838893;2.34503738306177
130010901;4990.242017249308;1534.4039958849705;1309.7166432436795;49;23257.091508751626;3456.5;0.0063268674867345;5309.835672997523;7.828591815739645
130010902;6940.480778246064;1582.1631590571515;2151.3078564957887;219;30335.00968668765;3654.5;0.020129417412689365;6222.168706758915;1.806122327690812
130010903;5699.876354425044;2027.9140659985376;2217.064337873581;88;27670.55894909688;4567.5;0.024397150300090598;5538.974408365438;5.761119505677664
130010905;4308.274241466843;1151.1511027820982;889.4578795877962;23;24554.619695509733;2594.5;0.009677536557340938;4163.531914893617;12.512511986761936
130010906;5110.837805768378;455.6768866652177;418.2840716508655;106;27562.20634774609;1087;0.0334873082811733;6398.16098707403;1.0747096383613624
130010907;4212.100618531521;2438.488762904175;1915.8129070282673;84;25905.820110517256;5519.5;0.015627098281642438;4783.747831474598;7.257407032452901
130010908;5900.141689073041;1324.6803119746794;1518.3267013152551;154;26286.950040577827;3080.5;0.020803127443646874;5870.2153439153435;2.150455051906947
130020101;6584.121184158085;1745.8039304846595;2214.806332602093;90;27846.57987349051;4347.5;0.02758579252288973;4738.741872561768;4.8494553624573875
130020102;5715.307905295879;1649.8163214610881;1797.566656114069;46;26940.2575968708;4090.5;0.030612893335688618;5012.161214953271;8.966393051418956
130020103;4510.708439279731;1010.9550920390751;804.727450140024;16;23916.380937251786;2518;0.016701045964867767;4599.701572847682;15.796173313110549
130020104;4333.170494745396;1007.6099308199559;808.0268762955801;28;28221.581352541016;2499;0.02303022176215075;4327.602523659306;8.996517239463891
130020105;4353.36550562902;1492.8417282737164;1197.1696244405798;46;25612.53953613808;3708;0.021861356536566623;4037.0300490620493;8.113270262357155
130020106;5355.899765336136;1685.7176845778606;1748.752950625303;125;28164.44852818496;4195.5;0.010435582426419954;4874.6618287937745;3.3714353691557215
130030000;8152.51460973279;1151.6253119902487;1980.0528909330335;129;25684.27654934966;2614;0.02000276897104092;3657.47656529517;2.231831999981102
130050101;3398.1140815819713;1147.3297277977488;555.9854990260573;5;18989.251450230717;3034;0.00696264252633072;2679.75;57.36648638988744
130050102;3774.618585467714;958.0157942789341;520.3453834123277;6;20878.893566104354;2549;0.012317522822220317;3308.7269585253457;39.917324761622254
130050201;4162.711631068801;1259.0608455838071;949.227020322384;19;22048.940036507454;3287;0.0034293169630410514;3513.2329545454545;16.566590073471147
130050202;3528.6209529219686;1317.7183691773532;739.7532329766448;7;20041.57976687293;3474.5;-3.7571782407186394e-4;2743.2753326509724;47.06137032776261
130050301;4208.720352754815;948.4596741132705;660.8231763045095;8;19546.023491552696;2486;0.00063530509975784355;3162.590361445783;29.639364816039702
130050302;4675.154457160174;762.4966779682397;640.0677454213657;39;22177.799598191865;1991;0.022202311908744443;7311.623740201568;4.887799217745126
130050401;4473.685498146193;1089.3553539140166;875.0554399126268;36;23836.967269534678;2847.5;-0.0041860881964170815;3654.671164314516;7.564967735514004
130050402;4039.0547580345383;839.957793427692;570.4765847391823;16;20295.093175614194;2198;-2.1505744535021964e-4;2520.566318926975;13.124340522307687
130050403;5520.710064041305;836.1816599381725;899.3017197261356;46;23009.598213467703;2183;0.01842805773807643;5431.019195612432;4.544465543142242
130050501;3507.79290996662;791.556688629672;466.22024216322683;7;18761.163601255128;2071.5;0.0059878326928954895;2858.1343570057584;28.269881736773996
130050502;3437.1531180290212;792.7090035957763;441.9461701100716;8;17383.920794448433;2089.5;-8.268068271011231e-5;2149.3571428571427;24.77215636236801
130050601;5625.393727544913;1240.8393569900359;1353.3030534477405;94;27236.183019450447;3239;0.012244067305822393;5534.354560394412;3.30010467284584
130050602;4170.775201892076;929.8053463763118;702.7148781193662;23;25718.29948570253;2430.5;0.026981041023704355;4103.587761674718;10.106579851916432
130050603;3920.2481220047057;861.3394682445448;499.93766907776717;2;14797.659951828333;2283.5;NA;NA;107.6674335305681
130050701;6831.742574299262;1059.1347168573147;1423.925884340165;112;27828.877039985528;2763.5;0.014855843579819838;4877.878413767303;2.3641399929850775
130050702;7425.970773584163;745.7686031768689;1085.234933579586;144;28977.916979193422;1946.5;-0.0014004541420887806;5553.577405857741;1.294737158293175
130050703;4183.78772372854;515.2502790929029;382.1794172613343;26;22136.894950239588;1356.5;0.013557138144529857;3405.5845852384064;4.954329606662529
130050704;6846.2437648256755;70.20021277156647;89.14216481655876;23;23349.411989100816;183.5;NA;3682.836084033613;0.7630457909952877
130050705;6385.320753118916;868.0785383199851;1067.918169995528;132;25124.508160564623;2267;0.024134252855781968;4308.531045751634;1.6440881407575476
130050706;6448.934152633942;231.89968402156666;286.52943521669545;27;22839.411019736843;608;0.028085316212549616;2836.2348178137654;2.1472192964959875
130070101;6205.273302911192;1048.509170339256;1322.630517370119;7;19768.857955010222;2445;0.02144431251851686;3198.532222709338;37.44675608354485
130070102;8505.75196661067;1520.9034007591497;2734.5964699740543;175;27125.179150688822;3520.5;0.02036415664898583;4600.729236677868;2.1727191439416425
130070103;8286.508567207646;1402.2505315024723;2448.4719194128475;177;26964.601448828605;3244;0.01752268452697936;4684.3791617704665;1.9805798467549043
130070104;7551.675088758328;1431.904246600963;2278.912927535816;111;25589.01513595166;3310;0.009403547696025472;4922.189320388349;3.2250095644165833
130080000;9554.084820075796;197.28919910423636;404.07511030336656;33;28635.20302222222;562.5;0.04384419197681266;5593.220338983051;1.4946151447290634
130090000;8176.843319173165;403.22040514074587;693.6181040284238;53;27906.892260816578;820.5;0.024401840208484016;4103.259259259259;1.9019830431167257
130120000;8030.628708927224;175.33749223860465;299.4112284167519;67;32361.846251319956;473.5;0.04013302706580735;7719.465648854962;0.6542443740246442
130130000;8541.822801422173;793.799904074656;1453.537245866816;88;28402.880560043082;1857;0.030395822773762182;4724.559179869525;2.2551133638484546
130140101;6821.572765724432;921.4954983541154;1271.2052569924417;16;18417.778879223144;2471.5;1.9615629207381247e-4;2791.3021868787278;14.398367161783053
130140102;6303.249587624859;861.836415956025;1120.4995622114996;13;20213.38296392873;2301;0.018270055369710825;2633.250303766707;16.573777229923557
130140103;6291.14925180798;1195.0314062063394;1542.065525549191;18;18704.683218318696;3188;0.014129165709606317;2283.655583437892;16.59765841953249
130140104;6564.166314710311;1112.589991304954;1519.0589533231166;35;20767.04259757739;2972;0.00953850236784004;3708.8656195462477;7.947071366463957
130140105;8207.81954509895;79.41340884425351;133.34881347885957;22;20854.831767337808;223.5;NA;2922.0779220779223;0.9024251005028808
130140106;9012.336031182667;779.9532223905627;1484.6733014851443;243;22872.181196581194;2223;0.007484804979246862;4409.595375722543;0.8024210106898794
130150101;6453.34451464796;1126.8190577841256;1526.9822921062491;130;27372.32504959423;2772.5;0.05606481029213328;6001.325443786982;2.166959726507934
130150102;6073.51607211341;1146.1601217355742;1480.7381965817615;29;30932.567227191415;2795;0.02405831004910941;5056.991315136476;9.880690704617018
130150103;5992.674878233552;1334.724567837106;1684.937147826219;45;28719.813372271747;3253;0.04266300524421007;5037.418454332553;7.415136487983922
130150104;5849.553065209708;966.4951444311009;1183.9516803288666;43;28940.38985138004;2355;0.03002794653150631;5415.391084497671;5.619157816459889
130150105;5823.46161945534;1473.018582907569;1797.4056013134666;75;30454.808246563935;3601.5;0.020312814305371463;6232.425756710451;4.91006194302523
130160000;6945.3545118112415;2389.036060198566;3502.173481910741;168;26418.692235718976;6092;0.019966572780733438;4423.958183129055;3.555113184819294
130190101;6117.835169767467;749.4957705422701;972.8170933404728;41;31804.256186395283;1867;0.030759350400235697;5768.035974720467;4.57009616184311
130190102;6178.144357079272;1943.1616587422398;2534.4788356170525;183;29657.998896495348;4893.5;0.02387851270581387;5176.548602287166;2.6545924299757373
130190103;6029.512354133607;1343.4348120437237;1713.1350740686341;107;31351.762479413086;3339.5;0.01939705665760627;5252.494842702424;3.138866383279728
130200000;6834.629137445174;915.5774764155574;1318.4918820924454;40;25647.066461673625;2276.5;0.025093596419268005;4495.859872611465;5.722359227597234
130210101;7230.764491355274;655.3023263841969;995.0052573907433;30;29721.16305732484;2276.5;0.027465756356823467;5553.692380056444;5.460852719868308
130210102;7460.0362485414435;628.1995821054458;982.8334463888589;25;31222.59170295668;2181.5;0.008751112276649486;6529.228157644824;6.2819958210544575
130210103;8007.64090872939;609.0535303553589;1041.5552816628083;45;30597.719221642146;2107;0.021811922497649627;6597.140320733104;3.3836307241964385
130220101;5813.632174513551;408.2286580717472;473.8380959715042;22;25614.542279708974;1237;0.047947547676373325;13740.930023923445;4.6389620235425815
130220102;5601.232881795676;628.7180492627591;723.2980886920376;23;28439.646734475376;1868;0.02444815621537444;7848.223969072164;6.8338918398125985
130220103;5705.754321373033;713.2566858566476;841.9347423532327;39;28253.472598870056;2124;0.03736960014032342;7957.214501510574;4.572158242670818
130220104;5665.477468163754;696.2367460543107;811.6084396482906;121;29890.50123158657;2070.5;0.019123803115237425;7762.3935119887165;1.4385056736659314
130230000;7417.308635003429;1922.7175239524774;3012.3594664937586;146;27650.837472901825;4843.5;0.04658567878434039;5172.41999586007;3.292324527315886
130240000;8837.393750096007;1064.6597953097387;1991.3116003706004;80;22237.8961635903;2763;0.01970950855123066;2967.6457272212792;3.3270618603429334
130250000;8382.596761255954;1024.3017572076606;1835.7575363406847;121;29943.537764218785;2294.5;0.02219209437513503;4944.71161340608;2.116325944643927
130260101;5599.539386082085;2753.7616740593708;3231.2751931611683;69;22819.292133979994;6598;0.02222836332991096;3914.180133079848;9.977397369780329
130260102;6416.159862190162;1307.8806515221813;1746.8361439934345;47;21722.543381180225;3135;0.020730792845109702;3652.016567544605;6.9568119761818155
130260103;5901.246431854362;558.8031998462967;689.1532959302283;19;23134.82534579439;1337.5;0.02099577783635098;3500.884715701617;7.352673682188114
130260104;5566.779615317681;1602.6274590489911;1865.4696770245325;89;22190.96822259784;3845.5;2.2733884473158383e-5;3340.43747835123;4.501762525418514
130260105;7071.504804444173;840.1946741770892;1257.9349018865985;28;22928.881694327472;2018.5;0.03961635732118807;3675.895354082093;7.501738162295439
130260107;6186.043351846081;109.94745585867582;145.33648006770864;5;25711.839923954372;263;-0.05303174933662991;4453.125;5.497372792933792
130280101;5583.158437634211;309.26657026053965;325.38761585433014;2;16768.73294675804;948.5;0.036029799110630645;4564.408817635271;38.65832128256746
130280102;4379.0775448987315;1240.0151314328875;1045.3194974480296;11;20408.052432575358;3782;0.016959795548533885;4639.1990888746805;28.182162078020173
130280103;4808.107408785286;412.6240421611847;405.37307937862136;8;24020.514985938127;1244.5;0.034084215605105106;5526.985897967648;12.894501317537022
130280104;5623.982560853518;622.0215636412075;725.2181903074747;11;24945.79120234604;1875.5;0.025894832601138784;5220.8782475802345;14.136853719118353
130280105;4934.822033178607;396.708699391992;388.2616295466289;5;20821.029478079334;1197.5;0.0336218347204531;5014.127642276423;19.835434969599604
130280106;4990.127274615976;1050.1156828193368;1065.053537299886;23;21868.18677763819;3184;0.022221620750046522;5191.709401709401;11.414300900210183
130280107;5920.986409551796;898.3743683665629;1101.8164508903128;31;27182.704860088368;2716;0.023248635304778276;6215.6489437772925;7.244954583601313
130280108;5776.292903434993;667.0523946128618;780.2518444520744;4;18936.369035785287;2012;0.01674403997371443;4416.0344827586205;41.69077466330386
130280109;5078.31922871776;466.61901640978283;470.4465679527669;4;16639.382703847514;1416.5;NA;5675;29.163688525611427
130280110;5298.051730659317;2074.0909074375513;2268.702720349794;87;25687.558992805756;6255;0.018572991169705677;5920.246784587961;5.960031343211354
130280111;6387.92747052866;1672.521794949337;2230.82140149372;144;27070.693692978977;5042;0.026295109453866816;6589.3443329564725;2.9036836717870433
130280112;4512.941042638622;753.4800025172917;666.0480239923664;11;21624.978848259252;2283.5;0.02663830062729544;4708.476857777778;17.12454551175663
130280113;6033.848492799991;825.0005656312147;1026.0980896361023;87;23335.93400040024;2498.5;0.02078612003033342;5808.485463150778;2.3706912805494675
130280114;7061.645925688954;625.8707766758582;920.4714191981564;16;21255.60380047506;1894.5;0.01329474394224528;6069.483266398929;9.779230885560285
