iris;co2_pi_c;dens;pwd;ind;n;prix;snv;labiris;labcom;com;co2_pi_p
130010101;0.28762545434173675;89.125;97.90106358111265;1069.5;3;8638.372798033593;27476.21196820944;Mazarin;Aix-en-Provence;13001;0.14417933636253757
130010102;0.3797145625965355;106.5;115.9695813771518;1278;3;5539.093120567375;22076.547339593115;Cardeurs;Aix-en-Provence;13001;0.13912524539811036
130010103;0.2878209407430075;142.375;142.44918788410888;1139;2;6157.7197115384615;24137.824231782266;Villeneuve;Aix-en-Provence;13001;0.17304155012807904
130010104;0.3233770673455567;132.55;151.53366654092795;2651;5;5582.390403738318;22917.382233119577;Hypercentre;Aix-en-Provence;13001;0.14848669031639095
130010105;0.28405983922969946;146.375;163.11453885567892;1171;2;5769.513274336283;23003.142613151154;Tanneurs;Aix-en-Provence;13001;0.12587716910048435
130010202;0.2890076042571687;61.729166666666664;72.90039655754303;1481.5;6;6357.875;26260.791495106314;Couronne Nord;Aix-en-Provence;13001;0.17248962702926693
130010203;0.3002763450116541;43.23026315789474;75.36293943083244;3285.5;19;7096.722976370035;28345.29161467052;Couronne Est;Aix-en-Provence;13001;0.2502743415311792
130010204;0.3095737954506617;58.68181818181818;77.97104957397366;2582;11;6252.6592616791895;30013.571533694812;Couronne Sud;Aix-en-Provence;13001;0.20590138246132975
130010205;0.28762926925326443;52.875;63.882387706855795;423;2;5402.701923076923;24032.05437352246;Couronne Ouest partie nord;Aix-en-Provence;13001;0.22338787798961696
130010206;0.29278359831470646;102.578125;117.28714775323684;3282.5;8;6323.303349017437;27008.986900228483;Couronne Ouest partie sud;Aix-en-Provence;13001;0.15850275383946807
130010301;0.31057982801955564;46.983333333333334;57.38564207165662;2819;15;4796.317579529737;25224.03096842852;Fenouillères;Aix-en-Provence;13001;0.2395269660620222
130010302;0.3587296909017249;33.921875;53.57433210502073;1085.5;8;5564.707990115321;26664.514048825426;Facultés;Aix-en-Provence;13001;0.30938609109255466
130010303;0.348689283147904;43.89772727272727;88.63451333160756;1931.5;11;4469.4235996022535;26941.44794201398;Saint-Jérôme;Aix-en-Provence;13001;0.3427609376586915
130010304;0.3404114911471217;42.875;69.90872647760403;1886.5;11;4465.98061406918;25262.690856082692;Val Saint-André;Aix-en-Provence;13001;0.35987705645275325
130010305;0.31036839207018835;55.1875;94.74028878822197;2207.5;10;5642.953424657534;26193.609286523217;Pigonnet;Aix-en-Provence;13001;0.25567269804554626
130010306;0.30450942030191774;78.375;93.28404106858054;2508;8;3700.4538838920685;21271.939314194577;Beauvalle;Aix-en-Provence;13001;0.26904311207346
130010307;0.28366141350852037;69.1875;81.59646943691659;1660.5;6;4128.089141552512;25393.246913580246;Saint-Jérôme Est;Aix-en-Provence;13001;0.29385243803996725
130010401;0.35475063231956544;33.620535714285715;71.85534789536582;3765.5;28;6587.623050426137;31061.835665914223;La Torse;Aix-en-Provence;13001;0.358994658806652
130010402;0.3479061957690533;38.11607142857143;70.79131529632232;2134.5;14;5018.988459726802;27002.550761302413;Pont de Béraud;Aix-en-Provence;13001;0.36373449578194605
130010403;0.41620390976094757;47.291666666666664;95.28542584434655;1702.5;9;5407.814619666048;23242.517004405287;Pinette;Aix-en-Provence;13001;0.5159859233212211
130010404;0.46121901170754537;3.9292857142857143;43.91381112524996;2750.5;175;9097.561793045665;28478.13652063261;Campagne Repentance;Aix-en-Provence;13001;0.6304356483044863
130010501;0.28744666050376183;64.825;106.7619070574624;1296.5;5;5859.090909090909;19577.608947165445;Beisson;Aix-en-Provence;13001;0.26514036811061814
130010502;0.34871945535226606;55.4;107.74035424187726;2216;10;3889.1241379310345;22875.30356498195;Saint-Eutrope;Aix-en-Provence;13001;0.41682777474369626
130010503;0.36117174557350173;50.3125;93.87934782608696;2415;12;5067.486733238231;28174.39432712215;Rocher du Dragon-Verte Colline;Aix-en-Provence;13001;0.30321795452220734
130010504;0.4134452887814496;18.96590909090909;66.54418813660875;3338;44;5372.066561014263;26151.276692630316;Loubassanne;Aix-en-Provence;13001;0.48546113481896364
130010505;0.34636719600928645;21.568181818181817;69.61215753424658;1898;22;6510.093111803392;28862.645100105372;Les Lauves;Aix-en-Provence;13001;0.4371422574193003
130010506;0.403559667766687;16.70673076923077;34.98147482014389;1737.5;26;5512.706135986733;29739.488805755394;Brunet;Aix-en-Provence;13001;0.461362365461926
130010601;0.29409583630384867;108.5625;160.14889176741508;1737;4;2833.704363312556;16001.645135290732;Encagnane 4;Aix-en-Provence;13001;0.22777314154994327
130010602;0.2712731855049605;150.20833333333334;177.40960471567266;1802.5;3;1840;16216.504410540914;Encagnane 2;Aix-en-Provence;13001;0.1957621341470421
130010603;0.3123239205317599;145.8125;145.84531718816976;1166.5;2;2849.3273542600896;19477.592713244747;Encagnane 3;Aix-en-Provence;13001;0.21539791230519986
130010604;0.2730865820047141;145.375;176.88308254514186;2907.5;5;4094.202492211838;18866.47191745486;Encagnane 1;Aix-en-Provence;13001;0.2256021896349547
130010605;0.35258783563294804;42.30555555555556;48.95691070256073;1523;9;4871.736252002135;29076.96454366382;Minimes;Aix-en-Provence;13001;0.2952206150822935
130010606;0.27652796151370296;68.81944444444444;99.46112512613522;2477.5;9;4060.311679790026;18419.20980827447;Corsy;Aix-en-Provence;13001;0.20852489914987848
130010701;0.2894217281963058;50.81818181818182;99.50218023255815;2236;11;4230.066413662239;20610.108989266548;Jas 6;Aix-en-Provence;13001;0.3400027543064201
130010702;0.3508721399053933;52.25;91.52912679425837;2090;10;3686.7635225748772;23460.897511961724;Jas 1;Aix-en-Provence;13001;0.3739452604424354
130010703;0.2977116166548348;86.91666666666667;139.05075503355704;2086;6;2551.746376811594;18822.61836049856;Jas 2;Aix-en-Provence;13001;0.3774694533686396
130010704;0.25431478103600863;284.50000000000006;284.50000000000006;1138.0000000000002;1;NA;15678.351318101933;Jas 3;Aix-en-Provence;13001;0.3106553241804422
130010705;0.28595021263059334;124.77083333333333;148.1824386375021;2994.5;6;3740.8258527827647;16891.905994322926;Jas 4;Aix-en-Provence;13001;0.33447970476529754
130010706;0.3071415742796704;96.875;138.8725806451613;1550;4;2641.744548286604;16306.510967741935;Jas 5;Aix-en-Provence;13001;0.36825061036871704
130010707;0.46958785242779;3.6035564853556483;16.9905297532656;3445;239;6785.562690285082;29212.069433962264;Campagne Ouest;Aix-en-Provence;13001;0.634450692541688
130010709;0.3590684346081127;40.375;65.9907120743034;2584;16;5552.107410852714;26369.385294117652;Extension Ouest Partie Est;Aix-en-Provence;13001;0.4437243292894563
130010710;0.4318146591359147;10.883152173913043;37.51151685393259;2002.5;46;6043.106448311157;31069.24079900125;Extension Ouest Partie Nord;Aix-en-Provence;13001;0.5207615246835391
130010711;0.38126230306325964;21.30514705882353;64.35886540120794;2897.5;34;5491.168831168831;26097.544365832615;Extension Ouest Partie Ouest;Aix-en-Provence;13001;0.4951293597448328
130010801;0.4697031041634708;3.897222222222222;8.333695652173914;3507.5;225;6138.500563697858;30224.758602993585;Sud-Est Plateau Puyricard;Aix-en-Provence;13001;0.6911494959390326
130010802;0.4810002974805719;2.59006734006734;9.208482287942802;3077;297;6741.061946902655;30096.417322066947;Plateau Nord-Puyricard;Aix-en-Provence;13001;0.6909990534010905
130010803;0.4870728153127143;14.769642857142857;38.207728811510094;4135.5;70;5385.161786407767;30111.825752629673;Puyricard Village;Aix-en-Provence;13001;0.5731674152675204
130010804;0.4684255072275178;5.337121212121212;8.62919919564703;4227;198;8152.961468838893;32498.88466997871;Sud-Ouest Plateau Puyricard;Aix-en-Provence;13001;0.6399759198567476
130010901;0.37104265012834065;17.635204081632654;82.91203167944451;3456.5;49;5309.835672997523;23257.091508751626;Pont de l'Arc-La Parade;Aix-en-Provence;13001;0.37891411637311717
130010902;0.44947129092333965;4.171803652968037;18.2870946777945;3654.5;219;6222.168706758915;30335.00968668765;Montaiguet;Aix-en-Provence;13001;0.5886736507034583
130010903;0.42459850563679086;12.975852272727273;41.948234811165854;4567.5;88;5538.974408365438;27670.55894909688;Luynes Village;Aix-en-Provence;13001;0.4853999645043417
130010905;0.39099358040020216;28.20108695652174;63.19187222971671;2594.5;23;4163.531914893617;24554.619695509733;Les Milles Village;Aix-en-Provence;13001;0.34282438989701147
130010906;0.4707685441009507;2.563679245283019;7.38534958601656;1087;106;6398.16098707403;27562.20634774609;Z.I. Les Milles;Aix-en-Provence;13001;0.384805953680649
130010907;0.45822377504934586;16.427083333333332;99.99355693450494;5519.5;84;4783.747831474598;25905.820110517256;Arbois Partie Ouest;Aix-en-Provence;13001;0.3470989957474893
130010908;0.39252678296013466;5.000811688311688;32.326752962181466;3080.5;154;5870.2153439153435;26286.950040577827;Arbois Partie Est;Aix-en-Provence;13001;0.4928832012060559
130020101;0.4691852259479471;12.07638888888889;28.718415756181713;4347.5;90;4738.741872561768;27846.57987349051;Logis Neuf Est;Allauch;13002;0.5094436647733394
130020102;0.45488299985323605;22.230978260869566;37.45148820437599;4090.5;46;5012.161214953271;26940.2575968708;Logis Neuf Ouest;Allauch;13002;0.43944912751841314
130020103;0.4294814089348911;39.34375;75.45318705321684;2518;16;4599.701572847682;23916.380937251786;Allauch Centre-Pie d'Autry;Allauch;13002;0.31958993254170925
130020104;0.43065696803546216;22.3125;30.042617046818727;2499;28;4327.602523659306;28221.581352541016;La Tirane-La Tuilière;Allauch;13002;0.3233400865528532
130020105;0.41382061710923496;20.152173913043477;57.42688106796116;3708;46;4037.0300490620493;25612.53953613808;La Pounche-Les Aubagnens;Allauch;13002;0.3228612795147195
130020106;0.42941889829808505;8.391;23.077568227863186;4195.5;125;4874.6618287937745;28164.44852818496;Golf-Embus-Enco de Botte-Bellons;Allauch;13002;0.4168163390836141
130030000;0.3989276557313934;5.065891472868217;20.847934200459065;2614;129;3657.47656529517;25684.27654934966;Alleins (commune non irisée);Alleins;13003;0.757480065391367
130050101;0.2956768693477965;151.7;204.48541529334213;3034;5;2679.75;18989.251450230717;Beaumond;Aubagne;13005;0.1832516476684434
130050102;0.30520997605187455;106.20833333333333;130.69061396626128;2549;6;3308.7269585253457;20878.893566104354;Centre Ville;Aubagne;13005;0.20413706685458127
130050201;0.32912162349713925;43.25;86.32761636750837;3287;19;3513.2329545454545;22048.940036507454;Passons;Aubagne;13005;0.28878217837614356
130050202;0.2905835426607879;124.08928571428571;227.37712260756945;3474.5;7;2743.2753326509724;20041.57976687293;Verdun;Aubagne;13005;0.21290926262099433
130050301;0.28468567543225387;77.6875;121.54108004827032;2486;8;3162.590361445783;19546.023491552696;Pin Vert;Aubagne;13005;0.2658178504845171
130050302;0.34202604765035305;12.762820512820513;58.80430688096434;1991;39;7311.623740201568;22177.799598191865;Ceinture Est;Aubagne;13005;0.32148053511871705
130050401;0.35464116355365305;19.774305555555557;68.40880158033363;2847.5;36;3654.671164314516;23836.967269534678;Gavots;Aubagne;13005;0.3073065636216424
130050402;0.3240445568902433;34.34375;89.49749772520474;2198;16;2520.566318926975;20295.093175614194;Bras d'Or;Aubagne;13005;0.2595434871424851
130050403;0.3854319894989535;11.86413043478261;48.68226065048099;2183;46;5431.019195612432;23009.598213467703;Camp Major;Aubagne;13005;0.411956811601528
130050501;0.3182727312428579;73.98214285714286;110.82304489500362;2071.5;7;2858.1343570057584;18761.163601255128;Tourtelle Sud;Aubagne;13005;0.2250640802139642
130050502;0.32951043385658424;65.296875;164.77144651830582;2089.5;8;2149.3571428571427;17383.920794448433;Tourtelle Nord;Aubagne;13005;0.21150809768369064
130050601;0.4306105313054234;8.61436170212766;22.648309663476383;3239;94;5534.354560394412;27236.183019450447;Longuillar;Aubagne;13005;0.41781508287982105
130050602;0.3995199276103088;26.418478260869566;36.245037029417816;2430.5;23;4103.587761674718;25718.29948570253;Pérussone;Aubagne;13005;0.28912358696538415
130050603;0.3339157726700412;285.4375;564.9065305452157;2283.5;2;NA;14797.659951828333;Charrel;Aubagne;13005;0.21893482333162564
130050701;0.4363349008876936;6.168526785714286;16.001379591098246;2763.5;112;4877.878413767303;27828.877039985528;Arnaud Solans;Aubagne;13005;0.5152617638285382
130050702;0.469052201306999;3.3793402777777777;6.707840996660673;1946.5;144;5553.577405857741;28977.916979193422;Garlaban-Royante;Aubagne;13005;0.5575314326121684
130050703;0.3674236528595076;13.04326923076923;60.7329985256174;1356.5;26;3405.5845852384064;22136.894950239588;Saint-Mitre;Aubagne;13005;0.28173934188082145
130050704;0.37476124552230367;1.9945652173913044;3.467643051771117;183.5;23;3682.836084033613;23349.411989100816;Paluds;Aubagne;13005;0.485788364122936
130050705;0.4139745933557123;4.293560606060606;18.937913542126157;2267;132;4308.531045751634;25124.508160564623;Baudinard;Aubagne;13005;0.4710710939547984
130050706;0.415897526324409;5.62962962962963;9.908511513157896;608;27;2836.2348178137654;22839.411019736843;Napollon;Aubagne;13005;0.4712655184485122
130070101;0.3807767555908504;87.32142857142857;96.12612474437628;2445;7;3198.532222709338;19768.857955010222;Le Centre;Auriol;13007;0.5409531768384944
130070102;0.44410671429899756;5.029285714285714;12.889593097571368;3520.5;175;4600.729236677868;27125.179150688822;Nord-Est;Auriol;13007;0.7767636614043614
130070103;0.4344045438377483;4.581920903954802;12.292694204685573;3244;177;4684.3791617704665;26964.601448828605;Sud;Auriol;13007;0.7547693956266485
130070104;0.4389235170560386;7.454954954954955;25.59950906344411;3310;111;4922.189320388349;25589.01513595166;Nord-Ouest;Auriol;13007;0.6884933315818175
130080000;0.46713250880816476;4.261363636363637;14.170777777777781;562.5;33;5593.220338983051;28635.20302222222;Aurons (commune non irisée);Aurons;13008;0.7183557516504294
130090000;0.470975350397383;3.8702830188679247;9.406840341255332;820.5;53;4103.259259259259;27906.892260816578;La Barben (commune non irisée);La Barben;13009;0.8453602730389077
