idINS	ind	co2_pi
r200N2273200E3894200	5.999999999999999	0.4025410093456876
r200N2274600E3894800	4	0.4046954999144195
r200N2273600E3895000	4	0.4046954999144195
r200N2273800E3895200	8	0.40515513376598283
r200N2273800E3895400	4	0.4046954999144195
r200N2272800E3895800	32.00000000000001	0.40320973574439745
r200N2272600E3896000	1	0.45340917205288306
r200N2273000E3896000	2	0.47761116693515715
r200N2270600E3896200	8.000000000000002	0.45592214374736567
r200N2272800E3896400	4.000000000000001	0.4560153418972547
r200N2277000E3896800	7	0.4621624489181125
r200N2277200E3896800	7	0.4621624489181125
r200N2274800E3897400	4.000000000000001	0.4560153418972547
r200N2277200E3897800	7	0.4621624489181125
r200N2269000E3898000	33	0.4491340989580925
r200N2269200E3898000	98	0.3938216417402622
r200N2269400E3898000	2	0.4527870068685406
r200N2268600E3898200	13.000000000000002	0.4696154934053672
r200N2268800E3898200	98.49999999999999	0.4732510288813037
r200N2269000E3898200	98	0.40962469547654984
r200N2269200E3898200	51	0.42194250434095215
r200N2269400E3898200	2	0.4527870068685406
r200N2269600E3898200	3	0.4545359102366652
r200N2268600E3898400	57	0.4750658308051569
r200N2268800E3898400	32.00000000000001	0.5093201422044598
r200N2269000E3898400	85.99999999999999	0.4470000621146727
r200N2269200E3898400	99	0.45164478243199085
r200N2268200E3898600	20	0.4709006006686166
r200N2268400E3898600	251	0.43732323885434776
r200N2268600E3898600	87	0.45889471581754143
r200N2268800E3898600	26.999999999999996	0.43003144576378904
r200N2269000E3898600	887	0.3743825119823195
r200N2269200E3898600	75.5	0.45715119627554623
r200N2267800E3898800	3	0.4911627124814976
r200N2268000E3898800	96	0.3853587669247794
r200N2268200E3898800	123	0.45584356120543135
r200N2268400E3898800	39	0.46425326302823416
r200N2268600E3898800	64.5	0.47402720711499485
r200N2268800E3898800	149	0.41220898015635665
r200N2269000E3898800	41	0.4518187941695941
r200N2267600E3899000	2.0000000000000004	0.44426772099344547
r200N2267800E3899000	100.99999999999999	0.4151980582972034
r200N2268000E3899000	173.5	0.39296435956790976
r200N2268200E3899000	174.5	0.38742616324293877
r200N2268400E3899000	246	0.42107460440806144
r200N2268800E3899000	66	0.4699412734893741
r200N2269000E3899000	117.00000000000001	0.4584334492659177
r200N2267400E3899200	6.000000000000001	0.4329511594795804
r200N2267600E3899200	204.5	0.3999349972884998
r200N2267800E3899200	186.5	0.3889827689537756
r200N2268000E3899200	117.00000000000001	0.4361282477416475
r200N2268200E3899200	140	0.48085349201096195
r200N2268400E3899200	321.00000000000006	0.3637948745043515
r200N2268600E3899200	138.5	0.309540397110773
r200N2269000E3899200	41.99999999999999	0.45535290705400133
r200N2267400E3899400	7.000000000000001	0.4346152445348978
r200N2267800E3899400	51.00000000000001	0.4110617500177302
r200N2268000E3899400	374	0.3752131472955209
r200N2268200E3899400	260.5	0.4307253562468105
r200N2268400E3899400	239	0.3472963717296258
r200N2268600E3899400	163	0.388478861754384
r200N2267000E3899600	21	0.48964456980288823
r200N2267200E3899600	137.49999999999997	0.4785616341022168
r200N2267400E3899600	41.5	0.46404009637820565
r200N2267800E3899600	300.99999999999994	0.4034463837298184
r200N2268000E3899600	216	0.37767248966544187
r200N2268200E3899600	335	0.36591046480566053
r200N2268400E3899600	109.49999999999999	0.32506950340041674
r200N2267000E3899800	99.5	0.45963131199699575
r200N2267200E3899800	100.5	0.4308168022894506
r200N2267400E3899800	5.000000000000001	0.48892211640857186
r200N2267600E3899800	13.000000000000002	0.43120426118769745
r200N2267800E3899800	200.5	0.3879671072377374
r200N2268000E3899800	308	0.3791313356968335
r200N2268200E3899800	125.50000000000001	0.4045870757756301
r200N2268600E3899800	1.0000000000000002	0.4821812580342773
r200N2277800E3899800	1	0.45340917205288306
r200N2266800E3900000	4	0.44173038859830477
r200N2267000E3900000	36	0.3618142490712431
r200N2267200E3900000	71	0.3844875041155455
r200N2267600E3900000	48	0.4282759483447629
r200N2267800E3900000	41.00000000000001	0.4288232910742047
