idINS	ind	dep	idcom	IRIS	act_mobpro
r200N2239000E3962600	9	13	13028	130280113	3.0591664846907625
r200N2239200E3961800	4	13	13028	130280113	1.35962954875145
r200N2239200E3962200	23	13	13028	130280113	7.817869905320836
r200N2239200E3962400	60	13	13028	130280103	20.394443231271747
r200N2239200E3962600	26	13	13028	130280103	8.837592066884426
r200N2239200E3962800	47	13	13028	130280103	15.975647197829536
r200N2239400E3961600	1	13	13028	130280113	0.3399073871878625
r200N2239400E3961800	17.5	13	13028	130280113	5.948379275787594
r200N2239400E3962000	28	13	13028	130280113	9.517406841260149
r200N2239400E3962200	100	13	13028	130280113	33.99073871878625
r200N2239400E3962400	317.5	13	13028	130280103	107.92059543214634
r200N2239400E3962600	118	13	13028	130280103	40.109071688167774
r200N2239400E3962800	12	13	13028	130280102	4.07888864625435
r200N2239600E3961600	10	13	13028	130280113	3.3990738718786244
r200N2239600E3961800	422.5	13	13028	130280113	143.6108710868719
r200N2239600E3962000	124	13	13028	130280104	42.148516011294944
r200N2239600E3962200	114	13	13028	130280103	38.749442139416324
r200N2239600E3962400	124.5	13	13028	130280103	42.31846970488888
r200N2239600E3962600	368	13	13028	130280103	125.08591848513338
r200N2239600E3962800	304	13	13028	130280102	103.3318457051102
r200N2239800E3961400	5	13	13028	130280113	1.6995369359393122
r200N2239800E3961600	2	13	13028	130280104	0.679814774375725
r200N2239800E3961800	70	13	13028	130280104	23.793517103150375
r200N2239800E3962000	48	13	13028	130280104	16.3155545850174
r200N2239800E3962200	120	13	13028	130280103	40.788886462543495
r200N2239800E3962400	154.5	13	13028	130280103	52.51569132052476
r200N2239800E3962600	216	13	13028	130280102	73.41999563257829
r200N2239800E3962800	202	13	13028	130280102	68.66129221194822
r200N2240000E3960800	7	13	13028	130280113	2.3793517103150372
r200N2240000E3961000	9	13	13028	130280113	3.0591664846907625
r200N2240000E3961200	1	13	13028	130280113	0.3399073871878625
r200N2240000E3961400	2	13	13028	130280113	0.679814774375725
r200N2240000E3961600	6	13	13028	130280113	2.039444323127175
r200N2240000E3961800	34	13	13028	130280104	11.556851164387323
r200N2240000E3962000	60	13	13028	130280103	20.394443231271747
r200N2240000E3962200	108	13	13028	130280103	36.709997816289146
r200N2240000E3962400	212.5	13	13028	130280103	72.23031977742079
r200N2240000E3962600	296.5	13	13028	130280102	100.78254030120122
r200N2240000E3962800	444	13	13028	130280102	150.91887991141095
r200N2240000E3963000	419.5	13	13028	130280101	142.59114892530832
r200N2240000E3963200	529	13	13028	130280101	179.81100782237925
r200N2240200E3960200	6	13	13028	130280113	2.039444323127175
r200N2240200E3960800	2	13	13028	130280113	0.679814774375725
r200N2240200E3961000	2	13	13028	130280113	0.679814774375725
r200N2240200E3961200	2	13	13028	130280113	0.679814774375725
r200N2240200E3961600	6	13	13028	130280113	2.039444323127175
r200N2240200E3961800	57	13	13028	130280103	19.374721069708162
r200N2240200E3962000	102.5	13	13028	130280103	34.84050718675591
r200N2240200E3962200	397.5	13	13028	130280103	135.11318640717533
r200N2240200E3962400	105	13	13028	130280103	35.69027565472556
r200N2240200E3962600	224	13	13028	130280102	76.13925473008119
r200N2240200E3962800	370	13	13028	130280102	125.76573325950912
r200N2240200E3963000	936.5	13	13028	130280102	318.3232681014332
r200N2240200E3963200	462.5	13	13028	130280102	157.2071665743864
r200N2240400E3961000	2	13	13028	130280113	0.679814774375725
r200N2240400E3961600	35	13	13028	130280113	11.896758551575187
r200N2240400E3961800	75	13	13028	130280104	25.493054039089685
r200N2240400E3962000	104	13	13028	130280104	35.350368267537704
r200N2240400E3962200	202	13	13028	130280103	68.66129221194822
r200N2240400E3962400	207.5	13	13028	130280102	70.53078284148147
r200N2240400E3962600	165	13	13028	130280102	56.08471888599731
r200N2240400E3962800	221	13	13028	130280102	75.1195325685176
r200N2240400E3963000	220	13	13028	130280102	74.77962518132975
r200N2240400E3963200	235	13	13028	130280102	79.87823598914768
r200N2240400E3968000	2	13	13028	130280111	0.679814774375725
r200N2240400E3968200	4	13	13028	130280111	1.35962954875145
r200N2240600E3961600	119	13	13028	130280104	40.44897907535564
r200N2240600E3961800	402.5	13	13028	130280104	136.81272334311464
r200N2240600E3962000	307	13	13028	130280104	104.35156786667378
r200N2240600E3962200	109	13	13028	130280104	37.04990520347701
r200N2240600E3962400	188.5	13	13028	130280105	64.07254248491208
r200N2240600E3962600	435.5	13	13028	130280105	148.02966712031412
r200N2240600E3962800	165	13	13028	130280112	56.08471888599731
r200N2240600E3963000	540	13	13028	130280112	183.54998908144574
r200N2240600E3963200	56	13	13028	130280112	19.034813682520298
r200N2240600E3963400	3.5	13	13028	130280112	1.1896758551575186
r200N2240600E3967800	11	13	13028	130280111	3.7389812590664873
r200N2240600E3968000	8	13	13028	130280111	2.7192590975029
r200N2240800E3961600	188	13	13028	130280114	63.902588791318145
r200N2240800E3961800	86	13	13028	130280114	29.23203529815617
r200N2240800E3962000	217	13	13028	130280104	73.75990301976616
r200N2240800E3962200	183.5	13	13028	130280104	62.37300554897276
r200N2240800E3962400	227	13	13028	130280105	77.15897689164478
r200N2240800E3962600	106	13	13028	130280105	36.030183041913425
r200N2240800E3962800	588.5	13	13028	130280112	200.03549736005706
r200N2240800E3963000	244	13	13028	130280112	82.93740247383845
r200N2240800E3963200	120	13	13028	130280112	40.788886462543495
r200N2240800E3963400	226.5	13	13028	130280112	76.98902319805086
r200N2240800E3963600	66	13	13028	130280112	22.433887554398922
r200N2240800E3963800	1	13	13028	130280107	0.3399073871878625
r200N2240800E3967200	18	13	13028	130280111	6.118332969381525
r200N2240800E3967400	11	13	13028	130280111	3.7389812590664873
r200N2240800E3967600	4	13	13028	130280111	1.35962954875145
r200N2240800E3967800	11	13	13028	130280111	3.7389812590664873
r200N2240800E3968000	15	13	13028	130280111	5.098610807817937
r200N2240800E3968400	9	13	13028	130280111	3.0591664846907625
r200N2241000E3961600	27	13	13028	130280113	9.177499454072287
r200N2241000E3961800	96.5	13	13028	130280114	32.80106286362873
r200N2241000E3962000	142	13	13028	130280104	48.26684898067647
r200N2241000E3962200	182.5	13	13028	130280104	62.0330981617849
r200N2241000E3962400	10	13	13028	130280106	3.3990738718786244
r200N2241000E3962600	725	13	13028	130280106	246.4328557112003
r200N2241000E3962800	240.5	13	13028	130280105	81.74772661868093
r200N2241000E3963000	140.5	13	13028	130280112	47.756987899894675
r200N2241000E3963200	133.5	13	13028	130280112	45.37763618957964
r200N2241000E3963400	247.5	13	13028	130280106	84.12707832899596
r200N2241000E3963600	217	13	13028	130280107	73.75990301976616
r200N2241000E3963800	181.5	13	13028	130280107	61.69319077459704
r200N2241000E3967000	8	13	13028	130280111	2.7192590975029
r200N2241000E3967200	27	13	13028	130280111	9.177499454072287
r200N2241000E3967400	3	13	13028	130280111	1.0197221615635874
r200N2241000E3967600	25	13	13028	130280111	8.497684679696562
r200N2241000E3967800	2	13	13028	130280111	0.679814774375725
r200N2241000E3968200	6	13	13028	130280111	2.039444323127175
r200N2241000E3968400	13	13	13028	130280111	4.418796033442213
r200N2241200E3961800	62	13	13028	130280114	21.074258005647472
r200N2241200E3962000	104.5	13	13028	130280114	35.52032196113163
r200N2241200E3962200	150.5	13	13028	130280113	51.1560617717733
r200N2241200E3962400	40	13	13028	130280106	13.596295487514498
r200N2241200E3962600	154	13	13028	130280106	52.34573762693082
r200N2241200E3962800	254	13	13028	130280106	86.33647634571706
r200N2241200E3963000	154	13	13028	130280106	52.34573762693082
r200N2241200E3963200	65.5	13	13028	130280106	22.263933860804993
r200N2241200E3963400	61	13	13028	130280106	20.73435061845961
r200N2241200E3963600	80.5	13	13028	130280107	27.36254466862293
r200N2241200E3963800	170.5	13	13028	130280107	57.95420951553055
r200N2241200E3964000	110	13	13028	130280107	37.389812590664874
r200N2241200E3964200	38	13	13028	130280107	12.916480713138775
r200N2241200E3964800	9	13	13028	130280111	3.0591664846907625
r200N2241200E3966800	16	13	13028	130280111	5.4385181950058
r200N2241200E3967000	9	13	13028	130280111	3.0591664846907625
r200N2241200E3967200	4	13	13028	130280111	1.35962954875145
r200N2241200E3967400	1	13	13028	130280111	0.3399073871878625
r200N2241200E3967600	2	13	13028	130280111	0.679814774375725
r200N2241200E3967800	2	13	13028	130280111	0.679814774375725
r200N2241200E3968200	15	13	13028	130280111	5.098610807817937
r200N2241200E3968600	7	13	13028	130280111	2.3793517103150372
r200N2241400E3961400	15	13	13028	130280114	5.098610807817937
r200N2241400E3961600	640.5	13	13028	130280114	217.71068149382594
r200N2241400E3961800	371.5	13	13028	130280114	126.27559434029091
r200N2241400E3962000	82.5	13	13028	130280114	28.042359442998656
r200N2241400E3962200	107.5	13	13028	130280113	36.540044122695214
r200N2241400E3962400	43	13	13028	130280113	14.616017649078085
r200N2241400E3962600	4	13	13028	130280106	1.35962954875145
r200N2241400E3962800	125	13	13028	130280106	42.48842339848281
r200N2241400E3963000	47.5	13	13028	130280106	16.145600891423467
r200N2241400E3963200	229	13	13028	130280106	77.83879166602051
r200N2241400E3963400	276	13	13028	130280106	93.81443886385004
r200N2241400E3963600	89	13	13028	130280106	30.25175745971976
r200N2241400E3963800	105	13	13028	130280107	35.69027565472556
r200N2241400E3964000	68	13	13028	130280107	23.113702328774647
r200N2241400E3964200	150	13	13028	130280107	50.98610807817937
r200N2241400E3964400	61	13	13028	130280107	20.73435061845961
r200N2241400E3964600	94	13	13028	130280107	31.951294395659072
r200N2241400E3964800	103.5	13	13028	130280111	35.180414573943764
r200N2241400E3965000	46	13	13028	130280111	15.635739810641672
r200N2241400E3965200	17	13	13028	130280111	5.778425582193662
r200N2241400E3966400	4.5	13	13028	130280111	1.5295832423453812
r200N2241400E3966600	161.5	13	13028	130280111	54.89504303083979
r200N2241400E3966800	17	13	13028	130280111	5.778425582193662
r200N2241400E3967000	18	13	13028	130280111	6.118332969381525
r200N2241400E3967200	9	13	13028	130280111	3.0591664846907625
r200N2241400E3967400	7	13	13028	130280111	2.3793517103150372
r200N2241400E3967800	4	13	13028	130280111	1.35962954875145
r200N2241400E3968000	6	13	13028	130280111	2.039444323127175
r200N2241400E3968200	6	13	13028	130280111	2.039444323127175
r200N2241400E3968400	7	13	13028	130280111	2.3793517103150372
r200N2241400E3968600	5	13	13028	130280111	1.6995369359393122
r200N2241600E3961600	191	13	13028	130280114	64.92231095288173
r200N2241600E3961800	21	13	13028	130280114	7.138055130945112
r200N2241600E3962000	24	13	13028	130280113	8.1577772925087
r200N2241600E3962200	795.5	13	13028	130280113	270.3963265079446
r200N2241600E3962400	72.5	13	13028	130280113	24.643285571120032
r200N2241600E3962600	115	13	13028	130280113	39.08934952660418
r200N2241600E3962800	5	13	13028	130280106	1.6995369359393122
r200N2241600E3963000	8.5	13	13028	130280106	2.889212791096831
r200N2241600E3963200	72	13	13028	130280106	24.4733318775261
r200N2241600E3963400	119.5	13	13028	130280106	40.61893276894956
r200N2241600E3963600	80.5	13	13028	130280110	27.36254466862293
r200N2241600E3963800	180.5	13	13028	130280110	61.35328338740918
r200N2241600E3964000	89	13	13028	130280107	30.25175745971976
r200N2241600E3964200	126	13	13028	130280107	42.82833078567067
r200N2241600E3964400	158.5	13	13028	130280107	53.8753208692762
r200N2241600E3964600	65	13	13028	130280107	22.09398016721106
r200N2241600E3964800	60	13	13028	130280111	20.394443231271747
r200N2241600E3965000	37	13	13028	130280111	12.576573325950912
r200N2241600E3965200	73.5	13	13028	130280111	24.983192958307892
r200N2241600E3965400	36	13	13028	130280111	12.23666593876305
r200N2241600E3965600	50	13	13028	130280111	16.995369359393123
r200N2241600E3965800	110.5	13	13028	130280111	37.5597662842588
r200N2241600E3966000	166.5	13	13028	130280111	56.59457996677911
r200N2241600E3966200	31	13	13028	130280111	10.537129002823736
r200N2241600E3966400	79	13	13028	130280111	26.852683587841135
r200N2241600E3966600	504.5	13	13028	130280111	171.48327683627662
r200N2241600E3967000	5	13	13028	130280111	1.6995369359393122
r200N2241600E3967200	1	13	13028	130280111	0.3399073871878625
r200N2241600E3967400	4	13	13028	130280111	1.35962954875145
r200N2241600E3967600	2	13	13028	130280111	0.679814774375725
r200N2241600E3968200	2	13	13028	130280111	0.679814774375725
r200N2241600E3968600	6	13	13028	130280111	2.039444323127175
r200N2241800E3961600	7	13	13028	130280114	2.3793517103150372
r200N2241800E3961800	30	13	13028	130280113	10.197221615635874
r200N2241800E3962000	7	13	13028	130280113	2.3793517103150372
r200N2241800E3962200	23	13	13028	130280113	7.817869905320836
r200N2241800E3962400	101	13	13028	130280113	34.33064610597411
r200N2241800E3962600	31	13	13028	130280113	10.537129002823736
r200N2241800E3962800	107	13	13028	130280106	36.37009042910129
r200N2241800E3963000	250.5	13	13028	130280106	85.14680049055956
r200N2241800E3963200	56	13	13028	130280106	19.034813682520298
r200N2241800E3963400	84	13	13028	130280106	28.55222052378045
r200N2241800E3963600	47	13	13028	130280110	15.975647197829536
r200N2241800E3963800	81.5	13	13028	130280110	27.70245205581079
r200N2241800E3964000	61	13	13028	130280107	20.73435061845961
r200N2241800E3964200	57	13	13028	130280107	19.374721069708162
r200N2241800E3964400	74	13	13028	130280107	25.153146651901825
r200N2241800E3964600	83	13	13028	130280107	28.212313136592584
r200N2241800E3964800	98	13	13028	130280111	33.31092394441052
r200N2241800E3965000	263.5	13	13028	130280111	89.56559652400176
r200N2241800E3965200	56	13	13028	130280111	19.034813682520298
r200N2241800E3965400	58	13	13028	130280111	19.714628456896026
r200N2241800E3965600	65.5	13	13028	130280111	22.263933860804993
r200N2241800E3965800	44	13	13028	130280111	14.955925036265949
r200N2241800E3966000	60	13	13028	130280111	20.394443231271747
r200N2241800E3966200	39	13	13028	130280111	13.256388100326637
r200N2241800E3966400	28	13	13028	130280111	9.517406841260149
r200N2241800E3966800	2	13	13028	130280111	0.679814774375725
