CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
001;5268256;12736983;23740;63.1;15.4;18.7;16.3;17.5;15.8;12.5;8.8;5.5;25.7;86.2;78.1;2.9;5.2;21.2;11.4;4.4;1.9;1.5;1;-23.2;11100;48260;4.3
002;921158;2156015;23200;57.5;13.3;20.1;14.8;15.3;12.8;8.8;7.8;5;25.5;79.4;71.7;3;4.7;24;11.1;5.1;2.2;1.7;1.2;-19.6;11880;42410;3.6
003;786496;1794751;21600;52.2;18.4;27.4;21.5;21.1;19;13.4;11.5;6.4;32.6;74.5;64.9;3.4;6.2;27.8;10.5;6.7;2.2;2.8;1.7;-19.5;10410;40230;3.9
004;597756;1423158;21080;49.5;17.4;26.7;18.8;19.4;17.2;11.9;10.5;6.5;33.6;78;69.7;3;5.3;23.8;8.9;7.1;2.6;2.8;1.7;-17.8;10900;38440;3.5
005;605491;1364151;23250;55.5;12.8;23.5;13.3;13.3;11.8;9.1;9.9;5;25.4;81.3;72.8;3;5.5;22.6;9.7;5.5;2;2.1;1.4;-19.1;12020;41260;3.4
006;578757;1301003;22880;55.5;11.9;21.5;13.2;12.5;11.3;8.1;8.3;5;22.8;78.4;69.2;3.2;6;26.2;9.3;5;1.8;2;1.2;-18.9;12340;39970;3.2
008;413178;955218;23110;55;10.2;18.3;10.8;10.8;9.6;6.6;7.1;5;24.1;80.6;72.8;2.9;4.9;23.6;8.9;5.2;2.2;1.8;1.2;-18.3;12970;39030;3
010;350528;803242;22470;55.1;15.1;24.1;18.9;18.2;13.7;9.7;7.3;5;28.2;77;69;2.8;5.2;26.7;9.9;5.3;2;2;1.3;-18.9;11300;40260;3.6
012;334924;742925;21330;49.7;17.6;29.7;19.3;19.7;17.5;12.7;10.8;7.6;31.2;73.7;63;3.7;7;28;10.6;6.4;2.1;2.6;1.7;-18.7;10690;38930;3.6
013;301902;702768;22780;53.7;10.4;21.6;11.9;10.6;8.8;6.3;6.8;5;24.8;80.2;72.4;2.7;5.1;23.6;9;5.3;2.3;1.8;1.2;-18.1;12880;38250;3
014;301322;683399;23480;57;11.5;22.1;13.2;13;10.9;7.3;7.3;5;25.1;76.4;69.1;2.7;4.6;27.1;10.5;4.6;1.9;1.6;1.1;-18.6;12440;41090;3.3
015;291697;660928;21650;51.5;14.4;23.8;16.5;16.7;13.8;9.4;7.4;5;28.9;74.6;66.8;2.9;4.9;28.8;7.6;6.2;2.3;2.4;1.5;-17.2;11590;37010;3.2
017;288879;610980;21790;54.1;16.8;24.7;19.1;18.6;16.7;13.8;12.4;8.2;27.5;73;62.6;3.2;7.2;29.5;12.4;5.4;1.7;2.4;1.3;-20.3;10850;41050;3.8
018;257880;549336;21580;51.3;15.7;23.2;19;18.7;16;12.6;9.8;6.8;28.2;65.2;55.7;3.1;6.4;36;11.6;5.7;1.8;2.5;1.4;-18.5;11170;38010;3.4
019;227780;504285;21960;51.5;12.9;23.5;15.1;14.3;12.2;8.4;7.5;5;27.8;73.3;65.7;2.9;4.7;30;8.7;5.5;2.1;2.1;1.3;-17.5;12030;37610;3.1
020;215477;470536;21730;51.2;14.6;28.1;17.8;17;13.1;8.6;7.4;5;31;73.4;65.2;2.6;5.6;29.9;8.7;6.1;2.1;2.4;1.6;-18.1;11440;37590;3.3
022;218449;473813;22600;54.1;12.3;24.2;14.3;13.3;11.9;7.8;7.9;5;27.7;73.5;66;2.5;5;29.7;10;4.8;1.8;1.8;1.2;-18;12160;38680;3.2
023;208336;474670;20820;46.2;16;26.5;19.1;19.1;15.6;9.9;9.5;5.8;32.7;69.8;62;2.9;4.9;30.5;9.5;6.7;2.6;2.4;1.7;-16.5;11210;35200;3.1
024;194606;439487;22000;51.9;11.6;21.5;13.4;13.3;11.4;7;6.5;5;24.5;72.9;64.7;2.8;5.4;30;8.6;5.5;2.2;2;1.3;-17;12490;36950;3
025;185566;432180;22620;56.4;12.3;20.8;15.3;14.6;11;7.6;5.9;5;27.5;75.3;68.7;2.6;4;28.5;8.9;5.2;2.3;1.7;1.2;-17.9;12230;38260;3.1
026;177168;408111;21690;48.9;11.9;21.5;14.2;12.9;11.6;7.2;6.7;5;26.3;73.8;65.5;2.9;5.4;28.6;8.4;5.9;2.5;2;1.4;-16.7;12350;36400;2.9
