CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
011;51204;120003;22590;53;10;15.1;11.6;11.2;9;7.5;7.6;5;21.6;74.6;67.3;2.8;4.5;27.6;9.3;4.9;2.3;1.6;1;-16.4;13020;37230;2.9
012;135606;326311;23240;55.8;8.6;13.5;10;9.3;8.3;6;6.5;5;20.2;75.7;68.5;2.5;4.7;27;10.2;4.4;2.2;1.3;0.9;-17.3;13610;38510;2.8
013;33377;81094;35820;51.6;12.3;14.9;10.8;12.8;14.6;11.1;7.5;8.3;19;92.5;87.1;2.9;2.5;16.9;7.9;1.5;0.6;0.5;0.4;-18.8;11510;79550;6.9
014;37831;90856;21210;48.4;15.3;19.2;19.3;17.9;14.1;10.9;9;5.5;29.3;74.9;68.3;3.3;3.3;25.7;10;5.5;2.5;1.7;1.3;-16.1;11380;37540;3.3
021;28518;68285;20910;50;14.2;22.3;17.9;15.9;14.4;9.3;7;7.1;30.6;72.9;62;3.1;7.8;27.9;9.8;6.1;2.7;2.1;1.3;-16.7;11710;35040;3
022;64692;149435;19740;43.1;18.2;31.1;22.5;20.6;18;11;9.7;8;36.5;68.3;60.1;3.2;5;31.2;7.3;8;2.9;3.2;1.9;-14.8;10830;32590;3
023;54193;123764;19210;42.9;20.5;33;25.3;25;20.3;12.4;9.3;8.5;39.1;67.2;57.9;3;6.3;31.5;7.9;8.8;2.9;3.8;2.1;-15.4;10300;33300;3.2
024;44652;104229;20320;45.7;16;23.4;19.5;18.2;16.7;10.8;8.5;6.4;31.4;70.5;62.2;3.1;5.2;29.6;8.5;7;2.7;2.7;1.6;-15.6;11300;34190;3
025;29315;67127;18240;36.5;22.9;35;29;26.8;22.9;14.9;13.1;12.9;43.6;62.7;52.5;3.1;7.1;31.8;9.5;9.4;3.2;4;2.2;-13.4;10010;30570;3.1
031;50567;103738;20180;43.5;16.4;28.7;21.2;19.4;16.7;11.1;9.9;8.6;34.3;60.2;52;2.7;5.5;38.4;10;6.8;2;3.2;1.6;-15.4;11150;32910;3
032;47738;100852;20640;45;14.1;22.3;16.9;16.4;14.9;9.4;10.2;7.4;28.7;62.9;54.4;2.5;6;35.7;10.3;6.4;2.1;2.8;1.5;-15.3;11760;33680;2.9
033;59223;121224;20290;43.5;15.9;24.7;20.7;18.7;16.5;11.2;10.4;8.9;31.5;59.9;51.5;2.7;5.7;38.5;10.9;6.5;1.9;3;1.6;-15.8;11220;34110;3
041;3769;7559;20280;48.3;15.2;;19.1;15.1;16.7;11.6;;11;22.4;63.4;49.5;4.5;9.4;35.4;13;4.5;1.6;1.7;1.2;-16.3;11600;34830;3
042;5066;9843;19490;42;19.7;;25.3;21.4;23.6;15.8;14.7;14.1;31;57.9;45.5;4.1;8.3;40;11.9;5.1;1.6;2.3;1.2;-14.9;10200;32290;3.2
043;21913;45662;20480;45.7;16.1;25.3;21.2;19.6;15.8;11.5;10.6;8;28.7;60.6;51.9;3.2;5.5;35.4;14.4;6.1;2;2.6;1.5;-16.5;11330;34040;3
044;42872;91472;20760;45.7;16.9;25.3;20.5;21;17.3;12.4;11;8.9;30.1;60.6;50.4;3.3;6.9;35.4;15.3;5.6;1.9;2.3;1.4;-16.9;11000;36670;3.3
051;15921;33429;20770;48.9;13.1;17.3;16;15.6;13.1;9;9.6;8.3;21.2;67.3;54.5;4.1;8.7;32.6;12.3;4.6;1.8;1.7;1.1;-16.8;12030;35180;2.9
052;47553;99962;20920;47.1;14.2;20.7;17.2;17;15.2;9.8;10.4;7.7;25.9;63;52.5;3.1;7.4;36.4;11.2;5.4;1.9;2.2;1.3;-16;11730;35470;3
061;268162;573627;23040;57.5;13.4;17.2;14.8;14.9;13.9;11.5;10.6;7.4;22.5;72.1;62.6;3.2;6.3;30.1;14.9;4.1;1.4;1.7;1;-21.2;11750;43460;3.7
062;252253;525851;21120;52.9;18.3;26.1;20.5;20.5;18.2;15.2;13.5;9.1;28.6;73.3;63.1;3.2;7;29.3;11.8;5.6;1.6;2.6;1.4;-20;10460;39770;3.8
071;44567;93006;19760;41.1;18;26.7;23.3;23;19.2;12.1;11.6;11.7;32.8;55.8;45.6;3.8;6.4;38.3;15.8;5.9;1.9;2.5;1.5;-15.8;10780;33270;3.1
072;36047;80190;20790;45.6;15.1;22.3;18.3;18.3;14.3;10.7;9.9;7.5;31.3;66.3;58.4;3.1;4.8;32.7;10.3;6.2;2.4;2.4;1.4;-15.5;11430;34400;3
073;61149;138722;21390;47.5;11.7;18.3;15.5;13.7;10.8;7.7;8.3;6.4;26.2;68.4;59.9;3;5.5;31.8;10.7;5.2;2.2;1.8;1.2;-16.1;12470;35210;2.8
081;67331;148947;19550;42.5;19.7;31.7;24.6;23.6;18.3;13.3;11.7;8.7;37.3;66.6;58.6;3;5;32.1;8.4;8.1;2.6;3.5;2;-15.2;10450;33090;3.2
082;15416;36471;20700;42.7;14.6;20.9;13.8;16.9;15.8;10.5;11.5;8.3;29.9;71.7;61.1;2.5;8.1;27;9.9;6.3;2.7;2.3;1.3;-14.9;11690;34460;2.9
083;24972;55274;19200;38.9;20.2;32.3;24.9;22.5;19.7;14.8;11.7;9.2;37.9;64.3;56.1;3.2;5;31.7;9.7;8.3;2.5;3.7;2.1;-14;10470;31760;3
084;9480;21040;19790;39.3;16.7;25.4;19.5;19.7;17.6;11.1;12.4;11;33.6;62.5;50;2.2;10.3;32.8;12.5;6.4;2.4;2.6;1.4;-14.2;11210;32980;2.9
091;21630;45452;20930;46;14.8;24;19.8;17.2;14.1;10.1;11.6;8.4;29.7;62.9;53.9;3;6;37.4;9.1;6.1;1.9;2.7;1.5;-15.5;11460;34300;3
092;28427;61208;19410;38.5;18.3;27.3;21.7;21;19;13.7;13.1;10.1;34.1;61.9;53.2;3.4;5.3;35.4;9.6;7.6;2.2;3.5;1.9;-14.5;10800;32620;3
093;18557;37289;19190;38;21.6;29.9;28.6;26.1;23.8;15.3;14.9;16;36;56.4;46.1;3.5;6.8;40.5;10.1;7.3;1.9;3.7;1.7;-14.3;9790;32260;3.3
101;12272;26199;20640;44.3;14;25.2;21.9;14.9;12.4;10;8.5;6.8;29.7;65.2;49.4;2.5;13.3;32.7;13;5.4;1.9;2.2;1.3;-16.3;11890;36640;3.1
