CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
01;258018;618263;23420;53.6;10.3;14.9;11.8;11.4;10.1;7.5;7.2;5;22;78.8;72;2.8;4;24.9;9.6;4;1.9;1.2;0.9;-17.3;12900;44080;3.4
02;221370;512838;19690;43.6;18.4;29.7;22.8;21.2;18.4;11.6;9.5;8.4;36.2;68.4;59.3;3.1;6;30.6;8.3;7.9;2.9;3.2;1.8;-15.2;10730;33170;3.1
03;157528;325813;20360;44;15.5;25.3;19.7;18.2;16.1;10.6;10.2;8.3;31.5;60.8;52.5;2.6;5.7;37.6;10.5;6.6;2;3;1.6;-15.5;11360;33600;3
04;73620;154535;20580;45.6;16.8;24.9;20.9;20.3;17.2;12.3;11.3;9.1;29.4;60.6;50.5;3.4;6.7;35.7;14.6;5.7;1.9;2.4;1.4;-16.6;11060;35380;3.2
05;63474;133391;20880;47.5;13.9;19.9;16.9;16.6;14.6;9.6;10.2;7.9;24.7;64;53;3.3;7.7;35.5;11.4;5.3;1.9;2.1;1.3;-16.2;11800;35410;3
06;520415;1099477;22140;55.2;15.8;21.7;17.6;17.6;16;13.2;11.9;8.1;25.6;72.6;62.8;3.2;6.6;29.7;13.5;4.8;1.5;2.1;1.2;-20.6;11090;41770;3.8
07;141763;311917;20780;45;14.4;21.5;18.3;17.5;14.1;9.9;9.9;8.2;29.6;64.2;55.3;3.3;5.6;34;12.2;5.5;2.1;2.1;1.3;-15.9;11630;34440;3
08;117199;261731;19650;41.5;18.9;29.7;22.6;22.1;18.2;13.1;11.7;9;36.4;66.5;57.8;2.9;5.8;31.3;9.2;7.8;2.6;3.3;1.9;-14.8;10660;32960;3.1
09;68614;143949;19820;40.7;18;26.7;22.8;21;18.7;13;13.2;11.2;33.2;60.8;51.6;3.3;5.9;37.4;9.6;7;2;3.3;1.7;-14.8;10690;33090;3.1
10;130958;288559;20430;46.6;16.2;27.6;21.1;18.6;15.1;10.7;7.7;6.2;33.2;68.8;57.3;3;8.5;30.8;10.1;6.8;2.4;2.7;1.7;-16.5;11240;35650;3.2
11;164932;351144;19240;39.9;20.7;32.5;25.8;23.9;21.6;14.7;14.7;11.7;36.9;60.2;50.1;3.5;6.6;37.4;9.6;8;2.3;3.7;2;-15.2;10220;33020;3.2
