CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
02;146373;322328;17880;33.8;29.8;49.7;36.2;31.3;29.9;23.4;31.2;21.7;38.4;72.2;63.1;3.7;5.4;24.4;6.2;11.8;2.7;7;2.1;-14.6;8800;37400;4.3
04;316016;855515;15440;28.3;38.9;54.3;42.3;39.9;36.3;31;39.9;29;48.5;75;62.1;5.3;7.6;15.5;6.6;16.6;4.5;8.8;3.3;-13.7;8240;36130;4.4
11;4934157;11902249;23860;63.6;15.6;18.8;16.4;17.7;16.1;12.8;8.9;5.5;25.7;86.6;78.5;2.9;5.2;20.9;11.6;4.4;1.9;1.5;1;-23.5;11020;48990;4.4
24;1117896;2496978;21560;50.5;13.1;21.4;16.2;15.3;12.8;8.7;7.8;5.8;28.8;70.1;62.4;2.8;4.9;32.2;8.8;5.5;2.2;2;1.3;-16.6;11990;36040;3
27;1223882;2675398;21480;50;12.9;20.2;15.5;14.9;12.8;8.8;8.6;6.2;27.5;70.3;61.9;2.7;5.7;32.3;8.8;5.3;2.1;2;1.2;-16.7;12110;36570;3
28;1417268;3187278;21200;48.8;13.5;21.8;16.2;15.7;13.5;8.8;8.4;5.6;27.6;70.2;62.1;2.8;5.3;31.6;8.5;6;2.3;2.3;1.4;-16.3;11910;35550;3
32;2430999;5763277;20110;45.5;18;28.7;21.1;20.2;17.4;11.8;10.8;7.3;34.8;73.1;64.8;3.1;5.2;27.6;8;7.6;2.8;3;1.8;-16.3;10890;34950;3.2
44;2341552;5270851;21610;49.1;14.8;24.4;18.6;17.4;13.6;9.5;8.6;6.1;29.7;70.4;62.1;2.8;5.5;28.8;12.2;5.4;2;2.1;1.3;-16.8;11480;38420;3.3
52;1608172;3688813;21620;49;10.8;17.7;12.1;12.1;10.9;7;7.9;5;25.3;72.4;64.5;2.8;5.1;29.8;9.2;5.2;2.3;1.7;1.2;-16.6;12750;35550;2.8
53;1461067;3232895;21750;49.3;10.9;19.3;12.4;12.1;10.9;7.1;8.6;5.6;25.1;69.2;60.3;2.8;6.1;32.9;9.6;5.1;2.1;1.9;1.1;-16.8;12740;36090;2.8
75;2657735;5760106;21290;48.4;13.6;22.7;15.6;15.1;13.7;9.5;10.9;7.3;26.6;68.3;59.1;3;6.2;33.5;9.8;5.4;1.9;2.2;1.3;-17;11870;36470;3.1
76;2575622;5626349;20740;46.3;17.2;27.3;19.7;19.3;17.3;12.5;12.6;8.7;32;68.9;59.1;3.3;6.5;31.5;10.3;6.4;2.1;2.7;1.6;-17.1;10890;36680;3.4
84;3373235;7650107;22480;52.4;12.7;19.8;14.4;14.5;12.4;8.8;8.6;5.5;25.6;74.9;66.9;2.9;5.1;27.3;10.8;4.8;2;1.7;1.1;-17.8;12090;40760;3.4
93;2245875;4953997;21350;51.3;17.3;24.9;20.3;20;17.7;13.5;11.4;7.6;30.1;70.3;60.5;3.4;6.4;30.9;12.2;5.7;1.9;2.4;1.4;-19.1;10730;39180;3.7
94;123148;256260;20670;48.5;18.5;23.1;19.9;19.6;18.6;16.4;18.2;11;28.5;68.9;57.3;2.8;8.8;32.1;11.8;5.8;1.5;2.9;1.4;-18.6;10520;37810;3.6
