CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
00151;915;2211;20760;45;13.2;;;;;;;;;72.8;65.9;2.8;4.1;29.1;6.5;6.1;2.4;2.7;1;-14.5;11760;31410;2.7
00152;1008;2072;17630;31.7;26.4;;;;;;;16.1;45.3;51.4;40.5;3.2;7.7;41.7;12.4;8.2;2.3;3.9;2;-13.7;9230;32320;3.5
00153;926;2363;23900;59;;;;;;;;;;80;72.6;2.1;5.3;23.7;9.8;3.6;2.1;0.9;0.6;-17.1;15290;36700;2.4
00154;1146;2250;19430;42.6;15.4;;;;;;;;25.2;60.3;50.9;2.4;7;37.7;10.9;6;1.7;2.9;1.4;-14.9;11170;32840;2.9
00155;987;2526;23560;58.6;;;;;;;;;;75.7;68.4;2;5.3;31.3;6.8;3.6;2.1;1;0.5;-17.4;14370;37340;2.6
00156;1211;2498;21430;50.9;10.7;;;;;;;;;54.6;49.2;1.7;3.7;47.6;7.8;4.6;1.9;1.6;1.1;-14.6;12860;30960;2.4
00157;1277;2922;19800;44;13.8;;;;;;;;35;65.3;59.7;2.9;2.7;33.5;10.5;5.8;2;2.5;1.3;-15.1;11860;30760;2.6
00158;1439;3002;18530;39.1;20.2;;;;;;;;37.5;60.4;52.4;2.9;5.1;38.7;6.8;7.8;2.1;3.9;1.8;-13.7;10620;30380;2.9
00159;1446;3327;21560;46.8;9.1;;;;;;;;;70.3;62;2.9;5.4;30.6;8.4;5.3;2.6;1.7;1;-14.6;13280;33740;2.5
00160;1411;3170;22040;50.2;11;;;;;;;;20.5;74.4;67;3.3;4.1;27.4;8.2;4.9;2.3;1.5;1.1;-14.9;12770;34110;2.7
00161;1516;3594;20740;43.2;13.6;;;;;;;;24.9;74;65.3;3.4;5.3;28.1;5.8;6.7;2.5;2.8;1.4;-14.6;12020;32260;2.7
00162;1761;3702;19230;40.7;18.1;;;;;;;;32.5;58;50.6;3.2;4.2;39.1;10.6;7.5;2;3.6;1.9;-15.2;10780;31820;3
00163;1861;3874;20350;44.1;14.2;;;;;;;10.7;28.1;58.8;48.8;2.9;7.1;43;9.3;4.3;1.8;1.6;0.9;-15.4;11560;34070;2.9
00164;1771;3986;21770;49.7;8.3;;;;;;;6.3;;65.1;56.6;2.6;5.9;37.8;9.4;3.6;1.9;1.1;0.6;-15.9;13650;34910;2.6
00165;1805;4088;23900;49.7;11;;;;;;;;21.5;80;71.8;3.5;4.7;24.7;7.5;3.1;1.5;0.9;0.7;-15.3;12680;45840;3.6
00166;1837;4593;24950;60.7;5.7;;;;;;;;;77.4;70.2;2.1;5.1;28;10.5;3.4;1.8;1;0.6;-19.3;15100;40390;2.7
00167;2046;4722;23550;58.9;6.9;;;;;;;;;77.5;71;2.8;3.7;29.6;6.6;3.3;1.6;1;0.7;-17;14290;38180;2.7
00251;1957;4810;21850;48.6;9;;;;;;;6.1;;71.1;62;3.1;6;31.5;8.5;4.2;2.1;1.4;0.7;-15.3;13490;34030;2.5
00252;2507;4956;22430;52.8;11.8;;;;;;;8;26.9;46.1;36.1;2.6;7.4;54.9;11.9;3.9;1.3;1.7;0.9;-16.8;12500;38630;3.1
00253;2035;4853;22880;54.9;7.3;;;;;;;;16.3;76.6;70.6;3.2;2.8;28.2;7.8;4.3;2.3;1.2;0.8;-16.9;13760;35480;2.6
00254;2548;4938;18730;36.9;22.1;;33.8;26.4;23.8;;;11.4;40.1;53.3;45.6;3.3;4.4;42.3;8.6;9.5;2.3;4.9;2.3;-13.7;10180;30620;3
00255;2691;5399;19470;38.2;16;;;;18.1;;;8.3;35.3;55.5;48.2;2.7;4.6;43;9.1;6.6;2;3;1.6;-14.2;10810;31460;2.9
