CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
0051;53952;117835;20360;44;15.2;23.4;19.6;18.1;16.6;9;8.3;7.2;32.3;63;55.1;2.5;5.4;35.1;11.9;6;2.4;2.2;1.4;-16;11480;32790;2.9
0052;61947;142043;19760;44;20.8;27.8;23.1;23.7;21.6;17.2;14.7;9.6;35;67.9;57.3;3.9;6.7;30.2;12.1;7.1;2.4;2.9;1.8;-17.3;10160;35400;3.5
0053;125097;286739;20070;46.2;20.1;26.7;23.6;23.5;19.4;16.2;12;8.1;35.2;71;61.1;3.8;6.1;28.5;10.5;7.3;2.5;2.9;1.9;-17.3;10290;36260;3.5
0054;113580;278336;21640;52.2;13;20.2;15.4;14.3;12.5;9.1;7.7;5.6;28.2;75.6;68;3;4.6;27.3;7.3;6;2.6;2.2;1.2;-16.2;12020;34930;2.9
0055;32595;76697;20800;47.3;16.8;20.9;18.9;20.9;15.2;14.2;10.7;8.2;33.1;69.2;61.4;3.3;4.5;30.5;10.3;6.1;2.6;2.1;1.4;-16.1;11120;35790;3.2
0056;31800;64115;20440;45.2;15;22.1;19;19.6;17.2;10;9.3;9.8;30.9;58.3;46.2;2.5;9.6;41.6;10.8;5.2;1.7;2.4;1.1;-15.9;11510;34600;3
0057;56681;142162;21630;51.6;13.7;17.7;16.4;16.1;13.8;9.5;7.7;6.3;31.9;74.3;66.6;3.2;4.5;28.4;7.7;6;2.9;1.9;1.2;-16.4;11760;35470;3
0058;34821;76978;19770;44;14.6;24.4;18.1;16.7;14.8;9.8;10.2;7.5;30.8;63.8;56;2.8;5;35.9;9.4;6;2.1;2.6;1.3;-15.1;11760;31740;2.7
0059;70400;157975;21820;51.8;11.5;16.5;14;13.1;11.9;7.7;7.8;5.5;24.5;70.5;61.3;2.6;6.6;31.9;9.9;4.8;2.2;1.6;1;-17.1;12540;36650;2.9
0060;73693;151281;20430;45.2;15.2;24.1;19.7;18.2;16.1;10.6;8.9;8.1;31.9;61.4;54;2.3;5.1;39.3;8.3;6.5;2;3.1;1.4;-15.5;11430;32910;2.9
0061;28681;62025;20660;45.9;13.2;20.8;16.6;15.7;14.7;8.9;8;7.7;27.9;62.2;53.1;2.8;6.3;38;9.8;5.3;2.2;1.9;1.2;-15.3;11960;32980;2.8
0062;36429;82274;20290;41.6;12.6;16.8;14.8;14.1;12.7;8.1;12.3;8.4;27.4;66.2;58;3;5.2;33.4;8.7;5.9;2.6;2.1;1.2;-14.2;12260;31710;2.6
0063;36460;73519;19840;41.4;15.2;19.4;16.6;16.9;15.9;12.1;14.8;11.4;25.9;59.1;48.4;2.2;8.5;39.4;10.9;5;1.7;2.2;1.1;-14.4;11590;32300;2.8
0064;28473;60227;19710;42.8;20.2;26.8;26.4;26.5;21;15.3;12.1;13.2;32.5;57;44.4;3.5;9.1;39.6;14.1;5.6;1.9;2.3;1.4;-16.3;10340;35580;3.4
0201;23428;51797;16310;28.2;34.8;57.8;42.6;35;35.1;28.6;37.1;28.2;44.1;68.4;59.1;3.9;5.4;25.6;4.9;14.2;3.1;9;2.1;-13.1;8350;34230;4.1
0202;61288;131649;19130;39;26.7;45.6;32.2;28.6;26.8;20.4;26.3;16.4;34.6;75.1;66.6;3.4;5.1;24;5.7;10.6;2.5;6;2.1;-15.4;9040;39640;4.4
0203;6957;15143;14560;17.5;41.1;;52.4;45.2;39.2;34.6;44.2;34.1;48.3;59.6;49.8;4.8;5;28.6;4.3;17.7;3.2;11.8;2.7;-10.2;7820;26990;3.5
0204;9092;20678;17040;29.8;31.8;55.9;45.5;34;32.8;24;29.7;21.6;43.5;68.7;58.4;3.9;6.4;26.9;5.7;12.3;2.8;7.2;2.3;-13.6;8550;35580;4.2
