COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
COM;Commune ou ARM;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal pour Paris Lyon et Marseille;;;CHAR;5
TYP_IRIS;Type d'IRIS;Type d'IRIS : habitat (H), activité (A), divers (D), Autre (Z);;;CHAR;1
MODIF_IRIS;Modification de l'IRIS;Type de modification de l'IRIS;;;CHAR;1
LAB_IRIS;Label de l'IRIS;Label de qualité de l'IRIS;;;CHAR;1
P18_LOG;Logements en 2018 (princ);Nombre de logements;;;NUM;17
P18_RP;Résidences principales en 2018 (princ);Nombre de résidences principales;;;NUM;17
P18_RSECOCC;Rés secondaires et logts occasionnels en 2018 (princ);Nombre de résidences secondaires et logements occasionnels;;;NUM;17
P18_LOGVAC;Logements vacants en 2018 (princ);Nombre de logements vacants;;;NUM;17
P18_MAISON;Maisons en 2018 (princ);Nombre de maisons;;;NUM;17
P18_APPART;Appartements en 2018 (princ);Nombre d'appartements;;;NUM;17
P18_RP_1P;Rés princ 1 pièce en 2018 (princ);Nombre de résidences principales d'1 pièce;;;NUM;17
P18_RP_2P;Rés princ 2 pièces en 2018 (princ);Nombre de résidences principales de 2 pièces;;;NUM;17
P18_RP_3P;Rés princ 3 pièces en 2018 (princ);Nombre de résidences principales de 3 pièces;;;NUM;17
P18_RP_4P;Rés princ 4 pièces en 2018 (princ);Nombre de résidences principales de 4 pièces;;;NUM;17
P18_RP_5PP;Rés princ 5 pièces ou plus en 2018 (princ);Nombre de résidences principales de 5 pièces ou plus;;;NUM;18
P18_NBPI_RP;Pièces rés princ en 2018 (princ);Nombre de pièces des résidences principales;;;NUM;17
P18_RPMAISON;Rés princ type maison en 2018 (princ);Nombre de résidences principales de type maison;;;NUM;17
P18_NBPI_RPMAISON;Pièces rés princ type maison en 2018 (princ);Nombre de pièces des résidences principales de type maison;;;NUM;17
P18_RPAPPART;Rés princ type appartement en 2018 (princ);Nombre de résidences principales de type appartement;;;NUM;17
P18_NBPI_RPAPPART;Pièces rés princ type appartement en 2018 (princ);Nombre de pièces des résidences principales de type appartement;;;NUM;17
P18_RP_M30M2;Rés princ de moins de 30 m2 en 2018 (princ);Nombre de résidences principales de moins de 30 m2;;;NUM;17
P18_RP_3040M2;Rés princ de 30 à moins de 40 m2 en 2018 (princ);Nombre de résidences principales de 30 à moins de 40 m2;;;NUM;18
P18_RP_4060M2;Rés princ de 40 à moins de 60 m2 en 2018 (princ);Nombre de résidences principales de 40 à moins de 60 m2;;;NUM;17
P18_RP_6080M2;Rés princ de 60 à moins de 80 m2 en 2018 (princ);Nombre de résidences principales de 60 à moins de 80 m2;;;NUM;17
P18_RP_80100M2;Rés princ de 80 à moins de 100 m2 en 2018 (princ);Nombre de résidences principales de 80 à moins de 100 m2;;;NUM;17
P18_RP_100120M2;Rés princ de 100 à moins de 120 m2 en 2018 (princ);Nombre de résidences principales de 100 à moins de 120 m2;;;NUM;17
P18_RP_120M2P;Rés princ de 120 m2 ou plus en 2018 (princ);Nombre de résidences principales de 120 m2 ou plus;;;NUM;18
P18_RP_ACHTOT;Rés princ avt 2016 en 2018 (princ);Nombre de résidences principales construites avant 2016;;;NUM;17
P18_RP_ACH19;Rés princ avt 1919 en 2018 (princ);Nombre de résidences principales construites avant 1919;;;NUM;17
P18_RP_ACH45;Rés princ 1919 à 1945 en 2018 (princ);Nombre de résidences principales construites de 1919 à 1945;;;NUM;17
P18_RP_ACH70;Rés princ 1946 à 1970 en 2018 (princ);Nombre de résidences principales construites de 1946 à 1970;;;NUM;18
P18_RP_ACH90;Rés princ 1971 à 1990 en 2018 (princ);Nombre de résidences principales construites de 1971 à 1990;;;NUM;18
P18_RP_ACH05;Rés princ 1991 à 2005 en 2018 (princ);Nombre de résidences principales construites de 1991 à 2005;;;NUM;17
P18_RP_ACH15;Rés princ 2006 à 2015 en 2018 (princ);Nombre de résidences principales construites de 2006 à 2015;;;NUM;17
P18_RPMAISON_ACHTOT;Rés princ Type maison avt 2016 en 2018 (princ);Nombre de résidences principales de type maison construites avant 2016;;;NUM;18
P18_RPMAISON_ACH19;Rés princ Type maison avt 1919 en 2018 (princ);Nombre de résidences principales de type maison construites avant 1919;;;NUM;18
P18_RPMAISON_ACH45;Rés princ Type maison 1919 à 1945 en 2018 (princ);Nombre de résidences principales de type maison construites de 1919 à 1945;;;NUM;17
P18_RPMAISON_ACH70;Rés princ Type maison 1946 à 1970 en 2018 (princ);Nombre de résidences principales de type maison construites de 1946 à 1970;;;NUM;18
P18_RPMAISON_ACH90;Rés princ Type maison 1971 à 1990 en 2018 (princ);Nombre de résidences principales de type maison construites de 1971 à 1990;;;NUM;18
P18_RPMAISON_ACH05;Rés princ Type maison 1991 à 2005 en 2018 (princ);Nombre de résidences principales de type maison construites de 1991 à 2005;;;NUM;17
P18_RPMAISON_ACH15;Rés princ Type maison 2006 à 2015 en 2018 (princ);Nombre de résidences principales de type maison construites de 2006 à 2015;;;NUM;17
P18_RPAPPART_ACHTOT;Rés princ Type appart avt 2016 en 2018 (princ);Nombre de résidences principales de type appartement construites avant 2016;;;NUM;18
P18_RPAPPART_ACH19;Rés princ Type appart avt 1919 en 2018 (princ);Nombre de résidences principales de type appartement construites avant 1919;;;NUM;18
P18_RPAPPART_ACH45;Rés princ Type appart 1919 à 1945 en 2018 (princ);Nombre de résidences principales de type appartement construites de 1919 à 1945;;;NUM;17
P18_RPAPPART_ACH70;Rés princ Type appart 1946 à 1970 en 2018 (princ);Nombre de résidences principales de type appartement construites de 1946 à 1970;;;NUM;17
P18_RPAPPART_ACH90;Rés princ Type appart 1971 à 1990 en 2018 (princ);Nombre de résidences principales de type appartement construites de 1971 à 1990;;;NUM;17
P18_RPAPPART_ACH05;Rés princ Type appart 1991 à 2005 en 2018 (princ);Nombre de résidences principales de type appartement construites de 1991 à 2005;;;NUM;17
P18_RPAPPART_ACH15;Rés princ Type appart 2006 à 2015 en 2018 (princ);Nombre de résidences principales de type appartement construites de 2006 à 2015;;;NUM;18
P18_MEN;Ménages en 2018 (princ);Nombre de ménages;;;NUM;17
P18_MEN_ANEM0002;Ménages emménagés moins 2 ans en 2018 (princ);Nombre de ménages ayant emménagé depuis moins de 2 ans;;;NUM;17
P18_MEN_ANEM0204;Ménages emménagés entre 2-4 ans en 2018 (princ);Nombre de ménages ayant emménagé entre 2 et 4 ans;;;NUM;18
P18_MEN_ANEM0509;Ménages emménagés entre 5-9 ans en 2018 (princ);Nombre de ménages ayant emménagé entre 5 et 9 ans;;;NUM;17
P18_MEN_ANEM10P;Ménages emménagés depuis 10 ans ou plus en 2018 (princ);Nombre de ménages ayant emménagé depuis 10 ans ou plus;;;NUM;17
P18_PMEN;Pop ménages en 2018 (princ);Population des ménages;;;NUM;17
P18_PMEN_ANEM0002;Pop mén emménagés moins 2 ans en 2018 (princ);Population des ménages ayant emménagé depuis moins de 2 ans;;;NUM;17
P18_PMEN_ANEM0204;Pop mén emménagés entre 2-4 ans en 2018 (princ);Population des ménages ayant emménagé entre 2 et 4 ans;;;NUM;17
P18_PMEN_ANEM0509;Pop mén emménagés entre 5-9 ans en 2018 (princ);Population des ménages ayant emménagé entre 5 et 9 ans;;;NUM;17
P18_PMEN_ANEM10P;Pop mén emménagés depuis 10 ans ou plus en 2018 (princ);Population des ménages ayant emménagé depuis 10 ans ou plus;;;NUM;17
P18_NBPI_RP_ANEM0002;Pièces Rés princ Mén. emménagés moins 2 ans en 2018 (princ);Nombre de pièces des résidences principales dans lesquelles le ménage a emménagé depuis moins de 2 ans;;;NUM;17
P18_NBPI_RP_ANEM0204;Pièces Rés princ Mén. emménagés entre 2-4 ans en 2018 (princ);Nombre de pièces des résidences principales dans lesquelles le ménage a emménagé entre 2 et 4 ans;;;NUM;18
P18_NBPI_RP_ANEM0509;Pièces Rés princ Mén. emménagés entre 5-9 ans en 2018 (princ);Nombre de pièces des résidences principales dans lesquelles le ménage a emménagé entre 5 et 9 ans;;;NUM;17
P18_NBPI_RP_ANEM10P;Pièces Rés princ Mén. emménagés depuis 10 ans ou plus en 2018 (princ);Nombre de pièces des résidences principales dans lesquelles le ménage a emménagé depuis 10 ans ou plus;;;NUM;17
P18_RP_PROP;Rés princ occupées Propriétaires en 2018 (princ);Nombre de résidences principales occupées par des propriétaires;;;NUM;17
P18_RP_LOC;Rés princ occupées Locataires en 2018 (princ);Nombre de résidences principales occupées par des locataires;;;NUM;17
P18_RP_LOCHLMV;Rés princ HLM louée vide en 2018 (princ);Nombre de résidences principales HLM loué vide;;;NUM;17
P18_RP_GRAT;Rés princ logé gratuit en 2018 (princ);Nombre de résidences principales occupées gratuitement;;;NUM;17
P18_NPER_RP;Personnes Rés princ en 2018 (princ);Nombre de personnes des résidences principales;;;NUM;17
P18_NPER_RP_PROP;Pers Rés princ occupées Propriétaires en 2018 (princ);Nombre de personnes des résidences principales occupées par des propriétaires;;;NUM;17
P18_NPER_RP_LOC;Pers Rés princ occupées Locataires en 2018 (princ);Nombre de personnes des résidences principales occupées par des locataires;;;NUM;17
P18_NPER_RP_LOCHLMV;Pers Rés princ HLM louées vides en 2018 (princ);Nombre de personnes des résidences principales HLM louées vides;;;NUM;17
P18_NPER_RP_GRAT;Pers Rés princ occupées gratuit en 2018 (princ);Nombre de personnes des résidences principales occupées gratuitement;;;NUM;17
P18_ANEM_RP;Anc tot Emméngt Rés princ (années) en 2018 (princ);Ancienneté totale d'emménagement dans les résidences principales en années;;;NUM;16
P18_ANEM_RP_PROP;Anc tot Emméngt Rés princ occ par Propriétaires (années) en 2018 (princ);Ancienneté totale d'emménagement dans les résidences principales occupées par des propriétaires en années;;;NUM;16
P18_ANEM_RP_LOC;Anc tot Emméngt Rés princ occ par Locataires (années) en 2018 (princ);Ancienneté totale d'emménagement dans les résidences principales occupées par des locataires en années;;;NUM;17
P18_ANEM_RP_LOCHLMV;Anc tot Emméngt Rés princ HLM louées vides (années) en 2018 (princ);Ancienneté totale d'emménagement dans les résidences principales HLM louées vides en années;;;NUM;17
P18_ANEM_RP_GRAT;Anc tot Emméngt Rés princ occ gratuit (années) en 2018 (princ);Ancienneté totale d'emménagement dans les résidences principales occupées gratuitement en années;;;NUM;17
P18_RP_SDB;Rés princ SDB baignoire douche (MET) en 2018 (princ);Nombre de résidences principales avec salle de bain dotée de baignoire ou douche (variable spécifique à la France métropolitaine);;;NUM;17
P18_RP_CCCOLL;Rés princ Chauffage Central Collectif (MET) en 2018 (princ);Nombre de résidences principales avec chauffage central collectif (variable spécifique à la France métropolitaine);;;NUM;17
P18_RP_CCIND;Rés princ Chauffage Central Individuel (MET) en 2018 (princ);Nombre de résidences principales avec chauffage central individuel (variable spécifique à la France métropolitaine);;;NUM;17
P18_RP_CINDELEC;Rés princ Chauffage Individuel Electrique (MET) en 2018 (princ);Nombre de résidences principales avec chauffage individuel électrique (variable spécifique à la France métropolitaine);;;NUM;17
P18_RP_ELEC;Rés princ avec électricité (DOM) en 2018 (princ);Nombre de résidences principales avec électricité dans le logement (variable spécifique aux Départements d'outre-mer);;;logical;5
P18_RP_EAUCH;Rés princ avec eau chaude (DOM) en 2018 (princ);Nombre de résidences principales avec eau chaude dans le logement (variable spécifique aux Départements d'outre-mer);;;logical;5
P18_RP_BDWC;Rés princ avec Bain/Douche WC (DOM) en 2018 (princ);Nombre de résidences principales avec baignoire ou douche et WC à l'intérieur du logement (variable spécifique aux Départements d'outre-mer);;;logical;5
P18_RP_CHOS;Rés princ avec chauffe-eau solaire (DOM) en 2018 (princ);Nombre de résidences principales avec chauffe-eau solaire (variable spécifique aux Départements d'outre-mer);;;logical;5
P18_RP_CLIM;Rés princ avec pièce climatisée (DOM) en 2018 (princ);Nombre de résidences principales avec pièce climatisée (variable spécifique aux Départements d'outre-mer);;;logical;5
P18_RP_TTEGOU;Rés princ avec tout à l'égout (DOM) en 2018 (princ);Nombre de résidences principales avec tout à l'égout (variable spécifique aux Départements d'outre-mer);;;logical;5
P18_RP_GARL;Ménages au moins un parking en 2018 (princ);Nombre de ménages disposant au moins d'un emplacement réservé au stationnement;;;NUM;17
P18_RP_VOIT1P;Ménages au moins une voiture en 2018 (princ);Nombre de ménages disposant au moins d'une voiture;;;NUM;17
P18_RP_VOIT1;Ménages une voiture en 2018 (princ);Nombre de ménages disposant d'une voiture;;;NUM;17
P18_RP_VOIT2P;Ménages deux voitures ou plus en 2018 (princ);Nombre de ménages disposant de deux voitures ou plus;;;NUM;17
P18_RP_HABFOR;Habitations de fortune (DOM) en 2018 (princ);Nombre de résidences principales habitations de fortune (variable spécifique aux Départements d'outre-mer);;;logical;5
P18_RP_CASE;Cases traditionnelles (DOM) en 2018 (princ);Nombre de résidences principales cases traditionnelles (variable spécifique aux Départements d'outre-mer);;;logical;5
P18_RP_MIBOIS;Maisons ou Immeubles en bois (DOM) en 2018 (princ);Nombre de résidences principales maisons ou immeubles en bois (variable spécifique aux Départements d'outre-mer);;;logical;5
P18_RP_MIDUR;Maisons ou Immeubles en dur (DOM) en 2018 (princ);Nombre de résidences principales maisons ou immeubles en dur (variable spécifique aux Départements d'outre-mer);;;logical;5
C18_RP_HSTU1P;Rés princ hors studio de 1 personne en 2018 (compl);Nombre de résidences principales hors studio de 1 personne;;;NUM;17
C18_RP_HSTU1P_SUROCC;Rés princ hors studio de 1 personne en suroccupation en 2018 (compl);Nombre de résidences principales hors studio de 1 personne en suroccupation;;;NUM;18
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010010000;L'Abergement-Clémenciat (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010020000;L'Abergement-de-Varey (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010040101;Les Pérouses-Triangle d'Activités;CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010040102;Longeray-Gare;CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010040201;Centre-Saint-Germain-Vareilles;CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010040202;Tiret-Les Allymes;CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010050000;Ambérieux-en-Dombes (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010060000;Ambléon (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010070000;Ambronay (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010080000;Ambutrix (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010090000;Andert-et-Condon (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010100000;Anglefort (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010110000;Apremont (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010120000;Aranc (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010130000;Arandas (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010140000;Arbent (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010150000;Arboys en Bugey (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010160000;Arbigny (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010170000;Argis (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010190000;Armix (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010210000;Ars-sur-Formans (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010220000;Artemare (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010230000;Asnières-sur-Saône (commune non irisée);CHAR;9
IRIS;IRIS;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS;010240000;Attignat (commune non irisée);CHAR;9
