COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
NBMENFISC18;Nombre de ménages fiscaux;Nombre de ménages fiscaux;;;NUM;7
NBPERSMENFISC18;Nombre de personnes dans les ménages fiscaux;Nombre de personnes dans les ménages fiscaux;;;NUM;8
MED18;Médiane du niveau vie (€);Médiane du niveau de vie (€);;;NUM;5
PIMP18;Part des ménages fiscaux imposés (%);Part des ménages fiscaux imposés (%);;;NUM;4
TP6018;Taux de pauvreté-Ensemble (%);Taux de pauvreté-Ensemble (%);;;NUM;4
TP60AGE118;Taux de pauvreté-moins de 30 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a moins de 30 ans (%);;;NUM;4
TP60AGE218;Taux de pauvreté-30 à 39 ans  (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 30 à 39 ans (%);;;NUM;4
TP60AGE318;Taux de pauvreté-40 à 49 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 40 à 49 ans (%);;;NUM;4
TP60AGE418;Taux de pauvreté-50 à 59 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 50 à 59 ans (%);;;NUM;4
TP60AGE518;Taux de pauvreté-60 à 74 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 60 à 74 ans (%);;;NUM;4
TP60AGE618;Taux de pauvreté-75 ans ou plus (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a 75 ans ou plus (%);;;NUM;4
TP60TOL118;Taux de pauvreté-propriétaires (%);Taux de pauvreté des personnes dans les ménages propriétaires de leur logement (%);;;NUM;4
TP60TOL218;Taux de pauvreté-locataires (%);Taux de pauvreté des personnes dans les ménages locataires de leur logement (%);;;NUM;4
PACT18;Part des revenus d'activité (%);Part des revenus d'activité (%);;;NUM;4
PTSA18;dont part des salaires et traitements (%);dont part des salaires et traitements (%);;;NUM;4
PCHO18;dont part des indemnités de chômage (%);dont part des indemnités de chômage (%);;;NUM;3
PBEN18;dont part des revenus des activités non salariées (%);dont part des revenus des activités non salariées (%);;;NUM;4
PPEN18;Part des pensions, retraites et rentes (%);Part des pensions, retraites et rentes (%);;;NUM;4
PPAT18;Part des revenus du patrimoine et autres revenus (%);Part des revenus du patrimoine et des autres revenus (%);;;NUM;4
PPSOC18;Part de l'ensemble des prestations sociales (%);Part de l'ensemble des prestations sociales (%);;;NUM;4
PPFAM18;dont part des prestations familiales (%);dont part des prestations familiales (%);;;NUM;3
PPMINI18;dont part des minima sociaux (%);dont part des minima sociaux (%);;;NUM;4
PPLOGT18;dont part des prestations logement (%);dont part des prestations logement (%);;;NUM;3
PIMPOT18;Part des impôts (%);Part des impôts (%);;;NUM;5
D118;1er décile du niveau de vie (€);1er décile du niveau de vie (€);;;NUM;5
D918;9e décile du niveau de vie (€);9e décile du niveau de vie (€);;;NUM;5
RD18;Rapport interdécile 9e décile/1er décile;Rapport interdécile 9e décile/1er décile;;;NUM;3
CODGEO;Code géographique;Code géographique;001;Paris;CHAR;3
CODGEO;Code géographique;Code géographique;002;Lyon;CHAR;3
CODGEO;Code géographique;Code géographique;003;Marseille - Aix-en-Provence;CHAR;3
CODGEO;Code géographique;Code géographique;004;Lille (partie française);CHAR;3
CODGEO;Code géographique;Code géographique;005;Toulouse;CHAR;3
CODGEO;Code géographique;Code géographique;006;Bordeaux;CHAR;3
CODGEO;Code géographique;Code géographique;008;Nantes;CHAR;3
CODGEO;Code géographique;Code géographique;010;Strasbourg (partie française);CHAR;3
CODGEO;Code géographique;Code géographique;012;Montpellier;CHAR;3
CODGEO;Code géographique;Code géographique;013;Rennes;CHAR;3
CODGEO;Code géographique;Code géographique;014;Grenoble;CHAR;3
CODGEO;Code géographique;Code géographique;015;Rouen;CHAR;3
CODGEO;Code géographique;Code géographique;017;Nice;CHAR;3
CODGEO;Code géographique;Code géographique;018;Toulon;CHAR;3
CODGEO;Code géographique;Code géographique;019;Tours;CHAR;3
CODGEO;Code géographique;Code géographique;020;Nancy;CHAR;3
CODGEO;Code géographique;Code géographique;022;Clermont-Ferrand;CHAR;3
CODGEO;Code géographique;Code géographique;023;Saint-Étienne;CHAR;3
CODGEO;Code géographique;Code géographique;024;Caen;CHAR;3
CODGEO;Code géographique;Code géographique;025;Orléans;CHAR;3
CODGEO;Code géographique;Code géographique;026;Angers;CHAR;3
CODGEO;Code géographique;Code géographique;028;Dijon;CHAR;3
CODGEO;Code géographique;Code géographique;029;Mulhouse;CHAR;3
CODGEO;Code géographique;Code géographique;030;Perpignan;CHAR;3
CODGEO;Code géographique;Code géographique;031;Cannes - Antibes;CHAR;3
CODGEO;Code géographique;Code géographique;032;Brest;CHAR;3
CODGEO;Code géographique;Code géographique;033;Metz;CHAR;3
CODGEO;Code géographique;Code géographique;034;Le Mans;CHAR;3
CODGEO;Code géographique;Code géographique;035;Amiens;CHAR;3
CODGEO;Code géographique;Code géographique;036;Reims;CHAR;3
CODGEO;Code géographique;Code géographique;037;Nîmes;CHAR;3
CODGEO;Code géographique;Code géographique;038;Valenciennes (partie française);CHAR;3
CODGEO;Code géographique;Code géographique;039;Le Havre;CHAR;3
CODGEO;Code géographique;Code géographique;040;Avignon;CHAR;3
CODGEO;Code géographique;Code géographique;041;Limoges;CHAR;3
CODGEO;Code géographique;Code géographique;042;Lens - Liévin;CHAR;3
CODGEO;Code géographique;Code géographique;043;Annecy;CHAR;3
CODGEO;Code géographique;Code géographique;044;Pau;CHAR;3
CODGEO;Code géographique;Code géographique;045;Besançon;CHAR;3
CODGEO;Code géographique;Code géographique;046;Poitiers;CHAR;3
CODGEO;Code géographique;Code géographique;047;Bayonne (partie française);CHAR;3
