COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
NBMENFISC18;Nombre de ménages fiscaux;Nombre de ménages fiscaux;;;NUM;7
NBPERSMENFISC18;Nombre de personnes dans les ménages fiscaux;Nombre de personnes dans les ménages fiscaux;;;NUM;7
MED18;Médiane du niveau vie (€);Médiane du niveau de vie (€);;;NUM;5
PIMP18;Part des ménages fiscaux imposés (%);Part des ménages fiscaux imposés (%);;;NUM;4
TP6018;Taux de pauvreté-Ensemble (%);Taux de pauvreté-Ensemble (%);;;NUM;4
TP60AGE118;Taux de pauvreté-moins de 30 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a moins de 30 ans (%);;;NUM;4
TP60AGE218;Taux de pauvreté-30 à 39 ans  (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 30 à 39 ans (%);;;NUM;4
TP60AGE318;Taux de pauvreté-40 à 49 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 40 à 49 ans (%);;;NUM;4
TP60AGE418;Taux de pauvreté-50 à 59 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 50 à 59 ans (%);;;NUM;4
TP60AGE518;Taux de pauvreté-60 à 74 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 60 à 74 ans (%);;;NUM;4
TP60AGE618;Taux de pauvreté-75 ans ou plus (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a 75 ans ou plus (%);;;NUM;4
TP60TOL118;Taux de pauvreté-propriétaires (%);Taux de pauvreté des personnes dans les ménages propriétaires de leur logement (%);;;NUM;4
TP60TOL218;Taux de pauvreté-locataires (%);Taux de pauvreté des personnes dans les ménages locataires de leur logement (%);;;NUM;4
PACT18;Part des revenus d'activité (%);Part des revenus d'activité (%);;;NUM;4
PTSA18;dont part des salaires et traitements (%);dont part des salaires et traitements (%);;;NUM;4
PCHO18;dont part des indemnités de chômage (%);dont part des indemnités de chômage (%);;;NUM;3
PBEN18;dont part des revenus des activités non salariées (%);dont part des revenus des activités non salariées (%);;;NUM;4
PPEN18;Part des pensions, retraites et rentes (%);Part des pensions, retraites et rentes (%);;;NUM;4
PPAT18;Part des revenus du patrimoine et autres revenus (%);Part des revenus du patrimoine et des autres revenus (%);;;NUM;4
PPSOC18;Part de l'ensemble des prestations sociales (%);Part de l'ensemble des prestations sociales (%);;;NUM;4
PPFAM18;dont part des prestations familiales (%);dont part des prestations familiales (%);;;NUM;3
PPMINI18;dont part des minima sociaux (%);dont part des minima sociaux (%);;;NUM;4
PPLOGT18;dont part des prestations logement (%);dont part des prestations logement (%);;;NUM;3
PIMPOT18;Part des impôts (%);Part des impôts (%);;;NUM;5
D118;1er décile du niveau de vie (€);1er décile du niveau de vie (€);;;NUM;5
D918;9e décile du niveau de vie (€);9e décile du niveau de vie (€);;;NUM;5
RD18;Rapport interdécile 9e décile/1er décile;Rapport interdécile 9e décile/1er décile;;;NUM;3
CODGEO;Code géographique;Code géographique;011;Belley;CHAR;4
CODGEO;Code géographique;Code géographique;012;Bourg-en-Bresse;CHAR;4
CODGEO;Code géographique;Code géographique;013;Gex;CHAR;4
CODGEO;Code géographique;Code géographique;014;Nantua;CHAR;4
CODGEO;Code géographique;Code géographique;021;Château-Thierry;CHAR;4
CODGEO;Code géographique;Code géographique;022;Laon;CHAR;4
CODGEO;Code géographique;Code géographique;023;Saint-Quentin;CHAR;4
CODGEO;Code géographique;Code géographique;024;Soissons;CHAR;4
CODGEO;Code géographique;Code géographique;025;Vervins;CHAR;4
CODGEO;Code géographique;Code géographique;031;Montluçon;CHAR;4
CODGEO;Code géographique;Code géographique;032;Moulins;CHAR;4
CODGEO;Code géographique;Code géographique;033;Vichy;CHAR;4
CODGEO;Code géographique;Code géographique;041;Barcelonnette;CHAR;4
CODGEO;Code géographique;Code géographique;042;Castellane;CHAR;4
CODGEO;Code géographique;Code géographique;043;Digne-les-Bains;CHAR;4
CODGEO;Code géographique;Code géographique;044;Forcalquier;CHAR;4
CODGEO;Code géographique;Code géographique;051;Briançon;CHAR;4
CODGEO;Code géographique;Code géographique;052;Gap;CHAR;4
CODGEO;Code géographique;Code géographique;061;Grasse;CHAR;4
CODGEO;Code géographique;Code géographique;062;Nice;CHAR;4
CODGEO;Code géographique;Code géographique;071;Largentière;CHAR;4
CODGEO;Code géographique;Code géographique;072;Privas;CHAR;4
CODGEO;Code géographique;Code géographique;073;Tournon-sur-Rhône;CHAR;4
CODGEO;Code géographique;Code géographique;081;Charleville-Mézières;CHAR;4
CODGEO;Code géographique;Code géographique;082;Rethel;CHAR;4
CODGEO;Code géographique;Code géographique;083;Sedan;CHAR;4
CODGEO;Code géographique;Code géographique;084;Vouziers;CHAR;4
CODGEO;Code géographique;Code géographique;091;Foix;CHAR;4
CODGEO;Code géographique;Code géographique;092;Pamiers;CHAR;4
CODGEO;Code géographique;Code géographique;093;Saint-Girons;CHAR;4
CODGEO;Code géographique;Code géographique;101;Bar-sur-Aube;CHAR;4
CODGEO;Code géographique;Code géographique;102;Nogent-sur-Seine;CHAR;4
CODGEO;Code géographique;Code géographique;103;Troyes;CHAR;4
CODGEO;Code géographique;Code géographique;111;Carcassonne;CHAR;4
CODGEO;Code géographique;Code géographique;112;Limoux;CHAR;4
CODGEO;Code géographique;Code géographique;113;Narbonne;CHAR;4
CODGEO;Code géographique;Code géographique;121;Millau;CHAR;4
CODGEO;Code géographique;Code géographique;122;Rodez;CHAR;4
CODGEO;Code géographique;Code géographique;123;Villefranche-de-Rouergue;CHAR;4
CODGEO;Code géographique;Code géographique;131;Aix-en-Provence;CHAR;4
CODGEO;Code géographique;Code géographique;132;Arles;CHAR;4
CODGEO;Code géographique;Code géographique;133;Marseille;CHAR;4
