COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
NBMENFISC18;Nombre de ménages fiscaux;Nombre de ménages fiscaux;;;NUM;7
NBPERSMENFISC18;Nombre de personnes dans les ménages fiscaux;Nombre de personnes dans les ménages fiscaux;;;NUM;8
MED18;Médiane du niveau vie (€);Médiane du niveau de vie (€);;;NUM;5
PIMP18;Part des ménages fiscaux imposés (%);Part des ménages fiscaux imposés (%);;;NUM;4
TP6018;Taux de pauvreté-Ensemble (%);Taux de pauvreté-Ensemble (%);;;NUM;4
TP60AGE118;Taux de pauvreté-moins de 30 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a moins de 30 ans (%);;;NUM;4
TP60AGE218;Taux de pauvreté-30 à 39 ans  (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 30 à 39 ans (%);;;NUM;4
TP60AGE318;Taux de pauvreté-40 à 49 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 40 à 49 ans (%);;;NUM;4
TP60AGE418;Taux de pauvreté-50 à 59 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 50 à 59 ans (%);;;NUM;4
TP60AGE518;Taux de pauvreté-60 à 74 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 60 à 74 ans (%);;;NUM;4
TP60AGE618;Taux de pauvreté-75 ans ou plus (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a 75 ans ou plus (%);;;NUM;4
TP60TOL118;Taux de pauvreté-propriétaires (%);Taux de pauvreté des personnes dans les ménages propriétaires de leur logement (%);;;NUM;4
TP60TOL218;Taux de pauvreté-locataires (%);Taux de pauvreté des personnes dans les ménages locataires de leur logement (%);;;NUM;4
PACT18;Part des revenus d'activité (%);Part des revenus d'activité (%);;;NUM;4
PTSA18;dont part des salaires et traitements (%);dont part des salaires et traitements (%);;;NUM;4
PCHO18;dont part des indemnités de chômage (%);dont part des indemnités de chômage (%);;;NUM;3
PBEN18;dont part des revenus des activités non salariées (%);dont part des revenus des activités non salariées (%);;;NUM;4
PPEN18;Part des pensions, retraites et rentes (%);Part des pensions, retraites et rentes (%);;;NUM;4
PPAT18;Part des revenus du patrimoine et autres revenus (%);Part des revenus du patrimoine et des autres revenus (%);;;NUM;4
PPSOC18;Part de l'ensemble des prestations sociales (%);Part de l'ensemble des prestations sociales (%);;;NUM;4
PPFAM18;dont part des prestations familiales (%);dont part des prestations familiales (%);;;NUM;3
PPMINI18;dont part des minima sociaux (%);dont part des minima sociaux (%);;;NUM;4
PPLOGT18;dont part des prestations logement (%);dont part des prestations logement (%);;;NUM;3
PIMPOT18;Part des impôts (%);Part des impôts (%);;;NUM;5
D118;1er décile du niveau de vie (€);1er décile du niveau de vie (€);;;NUM;5
D918;9e décile du niveau de vie (€);9e décile du niveau de vie (€);;;NUM;6
RD18;Rapport interdécile 9e décile/1er décile;Rapport interdécile 9e décile/1er décile;;;NUM;3
CODGEO;Code géographique;Code géographique;00151;Lécluse;CHAR;5
CODGEO;Code géographique;Code géographique;00152;Olonzac;CHAR;5
CODGEO;Code géographique;Code géographique;00153;Cussey-sur-l'Ognon;CHAR;5
CODGEO;Code géographique;Code géographique;00154;Aumale;CHAR;5
CODGEO;Code géographique;Code géographique;00155;Gouy-sous-Bellonne;CHAR;5
CODGEO;Code géographique;Code géographique;00156;Bessé-sur-Braye;CHAR;5
CODGEO;Code géographique;Code géographique;00157;Incheville;CHAR;5
CODGEO;Code géographique;Code géographique;00158;Gamaches;CHAR;5
CODGEO;Code géographique;Code géographique;00159;Entre-deux-Guiers;CHAR;5
CODGEO;Code géographique;Code géographique;00160;Sablons;CHAR;5
CODGEO;Code géographique;Code géographique;00161;Arleux;CHAR;5
CODGEO;Code géographique;Code géographique;00162;Blangy-sur-Bresle;CHAR;5
CODGEO;Code géographique;Code géographique;00163;Vayrac;CHAR;5
CODGEO;Code géographique;Code géographique;00164;Saint-Georges-sur-Cher;CHAR;5
CODGEO;Code géographique;Code géographique;00165;Seyssel;CHAR;5
CODGEO;Code géographique;Code géographique;00166;Saint-Ouen-de-Thouberville;CHAR;5
CODGEO;Code géographique;Code géographique;00167;Châtenois-les-Forges;CHAR;5
CODGEO;Code géographique;Code géographique;00251;Pontacq;CHAR;5
CODGEO;Code géographique;Code géographique;00252;Plestin-les-Grèves;CHAR;5
CODGEO;Code géographique;Code géographique;00253;Ivry-la-Bataille;CHAR;5
CODGEO;Code géographique;Code géographique;00254;Montréjeau;CHAR;5
CODGEO;Code géographique;Code géographique;00255;Descartes;CHAR;5
CODGEO;Code géographique;Code géographique;00256;Chazelles-sur-Lyon;CHAR;5
CODGEO;Code géographique;Code géographique;00257;Chauffailles;CHAR;5
CODGEO;Code géographique;Code géographique;00258;Chagny;CHAR;5
CODGEO;Code géographique;Code géographique;00259;Castillon-la-Bataille;CHAR;5
CODGEO;Code géographique;Code géographique;00260;Aire-sur-l'Adour;CHAR;5
CODGEO;Code géographique;Code géographique;00261;Terrasson-Lavilledieu;CHAR;5
CODGEO;Code géographique;Code géographique;00262;Raon-l'Étape;CHAR;5
CODGEO;Code géographique;Code géographique;00263;Condé-en-Normandie;CHAR;5
CODGEO;Code géographique;Code géographique;00264;Beaucourt;CHAR;5
CODGEO;Code géographique;Code géographique;00265;Le Malesherbois;CHAR;5
CODGEO;Code géographique;Code géographique;00266;Souppes-sur-Loing;CHAR;5
CODGEO;Code géographique;Code géographique;00267;Carhaix-Plouguer;CHAR;5
CODGEO;Code géographique;Code géographique;00268;Saint-Rambert-d'Albon;CHAR;5
CODGEO;Code géographique;Code géographique;00269;Pontcharra;CHAR;5
