COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
NBMENFISC18;Nombre de ménages fiscaux;Nombre de ménages fiscaux;;;NUM;7
NBPERSMENFISC18;Nombre de personnes dans les ménages fiscaux;Nombre de personnes dans les ménages fiscaux;;;NUM;7
MED18;Médiane du niveau vie (€);Médiane du niveau de vie (€);;;NUM;5
PIMP18;Part des ménages fiscaux imposés (%);Part des ménages fiscaux imposés (%);;;NUM;4
TP6018;Taux de pauvreté-Ensemble (%);Taux de pauvreté-Ensemble (%);;;NUM;4
TP60AGE118;Taux de pauvreté-moins de 30 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a moins de 30 ans (%);;;NUM;4
TP60AGE218;Taux de pauvreté-30 à 39 ans  (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 30 à 39 ans (%);;;NUM;4
TP60AGE318;Taux de pauvreté-40 à 49 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 40 à 49 ans (%);;;NUM;4
TP60AGE418;Taux de pauvreté-50 à 59 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 50 à 59 ans (%);;;NUM;4
TP60AGE518;Taux de pauvreté-60 à 74 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 60 à 74 ans (%);;;NUM;4
TP60AGE618;Taux de pauvreté-75 ans ou plus (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a 75 ans ou plus (%);;;NUM;4
TP60TOL118;Taux de pauvreté-propriétaires (%);Taux de pauvreté des personnes dans les ménages propriétaires de leur logement (%);;;NUM;4
TP60TOL218;Taux de pauvreté-locataires (%);Taux de pauvreté des personnes dans les ménages locataires de leur logement (%);;;NUM;4
PACT18;Part des revenus d'activité (%);Part des revenus d'activité (%);;;NUM;4
PTSA18;dont part des salaires et traitements (%);dont part des salaires et traitements (%);;;NUM;4
PCHO18;dont part des indemnités de chômage (%);dont part des indemnités de chômage (%);;;NUM;3
PBEN18;dont part des revenus des activités non salariées (%);dont part des revenus des activités non salariées (%);;;NUM;4
PPEN18;Part des pensions, retraites et rentes (%);Part des pensions, retraites et rentes (%);;;NUM;4
PPAT18;Part des revenus du patrimoine et autres revenus (%);Part des revenus du patrimoine et des autres revenus (%);;;NUM;4
PPSOC18;Part de l'ensemble des prestations sociales (%);Part de l'ensemble des prestations sociales (%);;;NUM;4
PPFAM18;dont part des prestations familiales (%);dont part des prestations familiales (%);;;NUM;3
PPMINI18;dont part des minima sociaux (%);dont part des minima sociaux (%);;;NUM;4
PPLOGT18;dont part des prestations logement (%);dont part des prestations logement (%);;;NUM;3
PIMPOT18;Part des impôts (%);Part des impôts (%);;;NUM;5
D118;1er décile du niveau de vie (€);1er décile du niveau de vie (€);;;NUM;5
D918;9e décile du niveau de vie (€);9e décile du niveau de vie (€);;;NUM;5
RD18;Rapport interdécile 9e décile/1er décile;Rapport interdécile 9e décile/1er décile;;;NUM;3
CODGEO;Code géographique;Code géographique;0051;Alençon;CHAR;4
CODGEO;Code géographique;Code géographique;0052;Arles;CHAR;4
CODGEO;Code géographique;Code géographique;0053;Avignon;CHAR;4
CODGEO;Code géographique;Code géographique;0054;Beauvais;CHAR;4
CODGEO;Code géographique;Code géographique;0055;Bollène-Pierrelatte;CHAR;4
CODGEO;Code géographique;Code géographique;0056;Cosne-Cours-sur-Loire;CHAR;4
CODGEO;Code géographique;Code géographique;0057;Dreux;CHAR;4
CODGEO;Code géographique;Code géographique;0058;La Vallée de la Bresle-Vimeu;CHAR;4
CODGEO;Code géographique;Code géographique;0059;Mâcon;CHAR;4
CODGEO;Code géographique;Code géographique;0060;Nevers;CHAR;4
CODGEO;Code géographique;Code géographique;0061;Nogent-le-Rotrou;CHAR;4
CODGEO;Code géographique;Code géographique;0062;Redon;CHAR;4
CODGEO;Code géographique;Code géographique;0063;Ussel;CHAR;4
CODGEO;Code géographique;Code géographique;0064;Valréas;CHAR;4
CODGEO;Code géographique;Code géographique;0201;Le Centre-Atlantique;CHAR;4
CODGEO;Code géographique;Code géographique;0202;Le Centre agglomération;CHAR;4
CODGEO;Code géographique;Code géographique;0203;Le Nord-Atlantique;CHAR;4
CODGEO;Code géographique;Code géographique;0204;Le Nord-Caraibe;CHAR;4
CODGEO;Code géographique;Code géographique;0205;Le Sud;CHAR;4
CODGEO;Code géographique;Code géographique;0206;Le Sud-Caraibe;CHAR;4
CODGEO;Code géographique;Code géographique;0401;L'Est;CHAR;4
CODGEO;Code géographique;Code géographique;0402;L'Ouest;CHAR;4
CODGEO;Code géographique;Code géographique;0403;Le Nord;CHAR;4
CODGEO;Code géographique;Code géographique;0404;Le Sud;CHAR;4
CODGEO;Code géographique;Code géographique;1101;Cergy-Vexin;CHAR;4
CODGEO;Code géographique;Code géographique;1102;Coulommiers;CHAR;4
CODGEO;Code géographique;Code géographique;1103;Etampes;CHAR;4
CODGEO;Code géographique;Code géographique;1104;Evry;CHAR;4
CODGEO;Code géographique;Code géographique;1105;Fontainebleau-Nemours;CHAR;4
CODGEO;Code géographique;Code géographique;1106;Marne-la-Vallée;CHAR;4
CODGEO;Code géographique;Code géographique;1107;Meaux;CHAR;4
CODGEO;Code géographique;Code géographique;1108;Melun;CHAR;4
CODGEO;Code géographique;Code géographique;1109;Paris;CHAR;4
CODGEO;Code géographique;Code géographique;1110;Provins;CHAR;4
CODGEO;Code géographique;Code géographique;1111;Rambouillet;CHAR;4
CODGEO;Code géographique;Code géographique;1112;Roissy;CHAR;4
CODGEO;Code géographique;Code géographique;1113;Saclay;CHAR;4
CODGEO;Code géographique;Code géographique;1114;Seine-Yvelinoise;CHAR;4
CODGEO;Code géographique;Code géographique;1115;Versailles-Saint-Quentin;CHAR;4
CODGEO;Code géographique;Code géographique;2401;Blois;CHAR;4
