zone;decile;ind
Aix-en-Provence;d1;5922
Aix-en-Provence;d2;10153.5
Aix-en-Provence;d3;5100.5
Aix-en-Provence;d4;6949
Aix-en-Provence;d5;8594.5
Aix-en-Provence;d6;8552
Aix-en-Provence;d7;12698.5
Aix-en-Provence;d8;15825.5
Aix-en-Provence;d9;17300
Aix-en-Provence;d10;38164.5
Aix-en-Provence;NA;0
Fos-sur-Mer;d2;1060
Fos-sur-Mer;d3;1826
Fos-sur-Mer;d4;1963.5
Fos-sur-Mer;d5;2422.5
Fos-sur-Mer;d6;1546
Fos-sur-Mer;d7;2811
Fos-sur-Mer;d8;2130
Fos-sur-Mer;d9;2184.5
Fos-sur-Mer;d10;168
Fos-sur-Mer;NA;0
Marseille;d1;156588
Marseille;d2;101999
Marseille;d3;90293.5
Marseille;d4;82910.5
Marseille;d5;75206
Marseille;d6;66045
Marseille;d7;63558.5
Marseille;d8;50489
Marseille;d9;58626
Marseille;d10;64902
Marseille;NA;0
autres;d1;112194
autres;d2;160958
autres;d3;178042
autres;d4;183156.5
autres;d5;188508.5
autres;d6;198836.5
autres;d7;195724.5
autres;d8;206312.5
autres;d9;196789.5
autres;d10;171575.5
autres;NA;0
