toidINS;sprincp;sprincp.raw;cconac;w;type;idINS
1991011558;120;488;4711x;6;alim;r200N2311600E3982000
2025111648;26;26;4711x;6;alim;r200N2329600E4050200
1998711666;1690;1690;4711x;6;alim;r200N2333200E3997400
1998711666;400;202;4711x;6;alim;r200N2333200E3997400
2007611642;33;33;4711x;6;alim;r200N2328400E4015200
2001911838;28;28;4711x;6;alim;r200N2367600E4003800
2001911838;95;95;4711x;6;alim;r200N2367600E4003800
2008211559;100;100;4711x;6;alim;r200N2311800E4016400
2008211559;48;48;4711x;6;alim;r200N2311800E4016400
2008211557;120;225;4711x;6;alim;r200N2311400E4016400
1943811497;1500;1500;4711x;6;alim;r200N2299400E3887600
1943711498;2500;2916;4711x;6;alim;r200N2299600E3887400
1943911498;73;73;4711x;6;alim;r200N2299600E3887800
1944211516;903;903;4711x;6;alim;r200N2303200E3888400
1944311520;2500;5761;4711x;6;alim;r200N2304000E3888600
1944311520;400;1;4711x;6;alim;r200N2304000E3888600
1944211519;400;207;4711x;6;alim;r200N2303800E3888400
1943711499;2500;9134;4711x;6;alim;r200N2299800E3887400
1944311520;400;207;4711x;6;alim;r200N2304000E3888600
1944111504;120;120;4711x;6;alim;r200N2300800E3888200
1981411203;29;29;4711x;6;alim;r200N2240600E3962800
1982411207;120;100;4711x;6;alim;r200N2241400E3964800
1982411207;120;100;4711x;6;alim;r200N2241400E3964800
1981411209;2500;2862;4711x;6;alim;r200N2241800E3962800
1980911206;64;64;4711x;6;alim;r200N2241200E3961800
1980911206;51;51;4711x;6;alim;r200N2241200E3961800
1981711204;38;38;4711x;6;alim;r200N2240800E3963400
1981611201;2500;162;4711x;6;alim;r200N2240200E3963200
1953211505;120;398;4711x;6;alim;r200N2301000E3906400
1953211505;50;50;4711x;6;alim;r200N2301000E3906400
1960511556;24;24;4711x;6;alim;r200N2311200E3921000
1960311556;120;98;4711x;6;alim;r200N2311200E3920600
1960111556;1526;1526;4711x;6;alim;r200N2311200E3920200
1960111556;400;320;4711x;6;alim;r200N2311200E3920200
1950011522;83;83;4711x;6;alim;r200N2304400E3900000
1962211469;1550;1550;4711x;6;alim;r200N2293800E3924400
1961411470;964;964;4711x;6;alim;r200N2294000E3922800
1973811273;27;27;4711x;6;alim;r200N2254600E3947600
1973611273;24;24;4711x;6;alim;r200N2254600E3947200
1973611274;53;53;4711x;6;alim;r200N2254800E3947200
1973611274;24;24;4711x;6;alim;r200N2254800E3947200
1973611273;35;35;4711x;6;alim;r200N2254600E3947200
1973511272;295;295;4711x;6;alim;r200N2254400E3947000
1973611276;72;72;4711x;6;alim;r200N2255200E3947200
1973511274;27;27;4711x;6;alim;r200N2254800E3947000
1973511276;27;27;4711x;6;alim;r200N2255200E3947000
1973611276;179;179;4711x;6;alim;r200N2255200E3947200
1973811278;117;117;4711x;6;alim;r200N2255600E3947600
1973711278;400;337;4711x;6;alim;r200N2255600E3947400
1973511279;40;40;4711x;6;alim;r200N2255800E3947000
1973611279;80;80;4711x;6;alim;r200N2255800E3947200
1973611279;40;40;4711x;6;alim;r200N2255800E3947200
1973611279;40;40;4711x;6;alim;r200N2255800E3947200
1973511279;680;680;4711x;6;alim;r200N2255800E3947000
1973511280;35;35;4711x;6;alim;r200N2256000E3947000
1973611282;75;75;4711x;6;alim;r200N2256400E3947200
1973711264;20;0;4711x;6;alim;r200N2252800E3947400
1973711263;48;48;4711x;6;alim;r200N2252600E3947400
1973711265;24;24;4711x;6;alim;r200N2253000E3947400
1973711264;120;398;4711x;6;alim;r200N2252800E3947400
1973611264;30;30;4711x;6;alim;r200N2252800E3947200
1973711264;25;25;4711x;6;alim;r200N2252800E3947400
1973611265;818;818;4711x;6;alim;r200N2253000E3947200
1973311265;59;59;4711x;6;alim;r200N2253000E3946600
1918711737;774;774;4711x;6;alim;r200N2347400E3837400
1918811736;838;838;4711x;6;alim;r200N2347200E3837600
1919311732;40;40;4711x;6;alim;r200N2346400E3838600
1950211656;120;945;4711x;6;alim;r200N2331200E3900400
1934211609;400;140;4711x;6;alim;r200N2321800E3868400
1934611589;2500;227;4711x;6;alim;r200N2317800E3869200
1932411593;115;115;4711x;6;alim;r200N2318600E3864800
1934511602;120;760;4711x;6;alim;r200N2320400E3869000
1932811600;20;17;4711x;6;alim;r200N2320000E3865600
1932211593;104;104;4711x;6;alim;r200N2318600E3864400
1932611590;2933;2933;4711x;6;alim;r200N2318000E3865200
1933611593;120;451;4711x;6;alim;r200N2318600E3867200
1933611593;1771;1771;4711x;6;alim;r200N2318600E3867200
1933611593;2490;2490;4711x;6;alim;r200N2318600E3867200
1931811585;400;1015;4711x;6;alim;r200N2317000E3863600
1933311598;26;26;4711x;6;alim;r200N2319600E3866600
1933211600;400;114;4711x;6;alim;r200N2320000E3866400
1933211600;400;285;4711x;6;alim;r200N2320000E3866400
1933311602;20;10;4711x;6;alim;r200N2320400E3866600
1933311602;24;24;4711x;6;alim;r200N2320400E3866600
1933711604;400;361;4711x;6;alim;r200N2320800E3867400
1933711588;2500;2029;4711x;6;alim;r200N2317600E3867400
1933711588;2500;989;4711x;6;alim;r200N2317600E3867400
1934311597;120;122;4711x;6;alim;r200N2319400E3868600
1932311594;67;67;4711x;6;alim;r200N2318800E3864600
1931811586;120;300;4711x;6;alim;r200N2317200E3863600
1933411591;113;113;4711x;6;alim;r200N2318200E3866800
1933511601;28;28;4711x;6;alim;r200N2320200E3867000
1933711603;33;33;4711x;6;alim;r200N2320600E3867400
1933711603;25;25;4711x;6;alim;r200N2320600E3867400
1932911598;208;208;4711x;6;alim;r200N2319600E3865800
1934711599;10528;10528;4711x;6;alim;r200N2319800E3869400
1931311589;400;500;4711x;6;alim;r200N2317800E3862600
1933611597;1341;1341;4711x;6;alim;r200N2319400E3867200
1933911601;34;34;4711x;6;alim;r200N2320200E3867800
1933411602;20;19;4711x;6;alim;r200N2320400E3866800
1933511601;400;47;4711x;6;alim;r200N2320200E3867000
1933511601;400;293;4711x;6;alim;r200N2320200E3867000
1931911595;1401;1401;4711x;6;alim;r200N2319000E3863800
1933511601;400;204;4711x;6;alim;r200N2320200E3867000
1932911599;400;346;4711x;6;alim;r200N2319800E3865800
1932911599;20;18;4711x;6;alim;r200N2319800E3865800
1933211600;45;45;4711x;6;alim;r200N2320000E3866400
1932811591;120;900;4711x;6;alim;r200N2318200E3865600
1931811585;120;600;4711x;6;alim;r200N2317000E3863600
1933411587;254;254;4711x;6;alim;r200N2317400E3866800
2010211220;50;50;4711x;6;alim;r200N2244000E4020400
2019411478;160;160;4711x;6;alim;r200N2295600E4038800
2001611362;50;50;4711x;6;alim;r200N2272400E4003200
2004511383;120;84;4711x;6;alim;r200N2276600E4009000
2004511383;48;48;4711x;6;alim;r200N2276600E4009000
2004711374;120;430;4711x;6;alim;r200N2274800E4009400
2000411176;400;300;4711x;6;alim;r200N2235200E4000800
2000311175;54;54;4711x;6;alim;r200N2235000E4000600
2000411176;40;40;4711x;6;alim;r200N2235200E4000800
2000211178;400;64;4711x;6;alim;r200N2235600E4000400
2000211178;1460;1460;4711x;6;alim;r200N2235600E4000400
2000411178;1191;1191;4711x;6;alim;r200N2235600E4000800
2000411178;1140;1140;4711x;6;alim;r200N2235600E4000800
2000211160;100;100;4711x;6;alim;r200N2232000E4000400
2000311162;400;1662;4711x;6;alim;r200N2232400E4000600
2020711198;120;203;4711x;6;alim;r200N2239600E4041400
2020711198;154;154;4711x;6;alim;r200N2239600E4041400
2020711201;70;70;4711x;6;alim;r200N2240200E4041400
2020111192;100;100;4711x;6;alim;r200N2238400E4040200
2020711198;30;30;4711x;6;alim;r200N2239600E4041400
2020711198;45;45;4711x;6;alim;r200N2239600E4041400
1990111167;1460;1460;4711x;6;alim;r200N2233400E3980200
1992311165;2500;54;4711x;6;alim;r200N2233000E3984600
1992311168;400;299;4711x;6;alim;r200N2233600E3984600
1992311166;2500;115;4711x;6;alim;r200N2233200E3984600
1992411165;390;390;4711x;6;alim;r200N2233000E3984800
1990111167;400;29;4711x;6;alim;r200N2233400E3980200
1990111167;20;15;4711x;6;alim;r200N2233400E3980200
1992311165;2500;1;4711x;6;alim;r200N2233000E3984600
1992411165;2500;0;4711x;6;alim;r200N2233000E3984800
1991011171;95;95;4711x;6;alim;r200N2234200E3982000
2003511213;1740;1740;4711x;6;alim;r200N2242600E4007000
2007411257;1083;1083;4711x;6;alim;r200N2251400E4014800
2007411257;400;9;4711x;6;alim;r200N2251400E4014800
2007711258;94;94;4711x;6;alim;r200N2251600E4015400
2007911259;984;984;4711x;6;alim;r200N2251800E4015800
1986211282;42;42;4711x;6;alim;r200N2256400E3972400
2020111271;80;80;4711x;6;alim;r200N2254200E4040200
2020111271;60;60;4711x;6;alim;r200N2254200E4040200
2020111271;37;37;4711x;6;alim;r200N2254200E4040200
1999611401;20;10;4711x;6;alim;r200N2280200E3999200
1999811400;120;135;4711x;6;alim;r200N2280000E3999600
1987511376;60;60;4711x;6;alim;r200N2275200E3975000
1987811379;120;500;4711x;6;alim;r200N2275800E3975600
1999211200;90;90;4711x;6;alim;r200N2240000E3998400
1999211199;20;18;4711x;6;alim;r200N2239800E3998400
1999511207;400;2700;4711x;6;alim;r200N2241400E3999000
1999511207;180;180;4711x;6;alim;r200N2241400E3999000
1999611206;2942;2942;4711x;6;alim;r200N2241200E3999200
1999411204;210;210;4711x;6;alim;r200N2240800E3998800
1998611208;25;25;4711x;6;alim;r200N2241600E3997200
1998611208;120;100;4711x;6;alim;r200N2241600E3997200
1999311422;70;70;4711x;6;alim;r200N2284400E3998600
2010511338;400;972;4711x;6;alim;r200N2267600E4021000
1950611834;40;40;4711x;6;alim;r200N2366800E3901200
1950611834;120;25;4711x;6;alim;r200N2366800E3901200
1950711836;600;2725;4711x;6;alim;r200N2367200E3901400
1950511836;670;670;4711x;6;alim;r200N2367200E3901000
1950611857;2500;281;4711x;6;alim;r200N2371400E3901200
1950511855;295;295;4711x;6;alim;r200N2371000E3901000
1950611857;9375;9375;4711x;6;alim;r200N2371400E3901200
1971311566;42;42;4711x;6;alim;r200N2313200E3942600
1971311566;55;55;4711x;6;alim;r200N2313200E3942600
1971411567;90;90;4711x;6;alim;r200N2313400E3942800
1978911540;68;68;4711x;6;alim;r200N2308000E3957800
1965311608;80;80;4711x;6;alim;r200N2321600E3930600
1973711516;33;33;4711x;6;alim;r200N2303200E3947400
1973611512;120;315;4711x;6;alim;r200N2302400E3947200
1957711801;63;63;4711x;6;alim;r200N2360200E3915400
1955111767;41;41;4711x;6;alim;r200N2353400E3910200
1955311766;50;50;4711x;6;alim;r200N2353200E3910600
1955311766;120;650;4711x;6;alim;r200N2353200E3910600
1964311731;125;125;4711x;6;alim;r200N2346200E3928600
1964111725;700;700;4711x;6;alim;r200N2345000E3928200
2002911548;400;280;4711x;6;alim;r200N2309600E4005800
2003111544;120;300;4711x;6;alim;r200N2308800E4006200
2002911545;2500;90;4711x;6;alim;r200N2309000E4005800
2002911548;1354;1354;4711x;6;alim;r200N2309600E4005800
2002911548;400;36;4711x;6;alim;r200N2309600E4005800
2020111620;55;55;4711x;6;alim;r200N2324000E4040200
2020011616;120;774;4711x;6;alim;r200N2323200E4040000
2005111512;120;157;4711x;6;alim;r200N2302400E4010200
1980311271;2500;2381;4711x;6;alim;r200N2254200E3960600
1980611264;120;180;4711x;6;alim;r200N2252800E3961200
1980711263;120;605;4711x;6;alim;r200N2252600E3961400
